&C4-3E6C;	由丿干丿干
&C4-467C;	虫丿干丿干
&C4-4C56;	&MJ013520;方丿一疋
&C4-582D;	⺼&AJ1-07449;
&C4-643F;	虫&MJ021826;心
&C5-303E;	衤一廾
&C5-3F71;	木&AJ1-04319;
&C6-225B;	口&AJ1-17237;
&C6-2C51;	氵朩一
&C6-304E;	山夨口
&C6-3136;	忄厶&CDP-8958;
&C6-314F;	扌厶&CDP-8958;
&C6-3262;	犭干干
&C6-3C2D;	言一丂
&C6-4023;	&CDP-8DE0;戈
&C6-4221;	干干瓦
&C6-4248;	目厶&CDP-8958;
&C6-4C72;	缶干干
&C6-5E5E;	&C2-4B6E;
&C6-5F75;	&C6-4C52;
&C6-6023;	&M-26183;
&C6-6125;	舟丿干丿干
&C6-643A;	風木丶
&C7-413C;	竹&AJ1-05603;
&C7-5823;	木&AJ1-14521;米糸&MJ011120;
&C7-606E;	巾艹止自巳几夂
&M-49299;	王
&MJ007573;	宀&MJ006350;口刂
&MJ013506;	日耳又
&MJ013844;	木丿干丿干
&U-0002F8A7;	忄⺾&C3-235B;
&U-0002F8A9;	忄⺾&AJ1-17246;
&U-0002F8AA;	忄&CDP-89C5;女
&U-0002F8FF;	氵夨口
&U-0002F923;	牙𦥑
&U-0002F95A;	禾&AJ1-13701;
&U-0002F95F;	立&AJ1-07826;
&U-0002F969;	&C3-5855;
&U-0002F98C;	臼&CDP-8C40;
&U-0002F9A5;	⺾丅冖糸
&U-0002F9C9;	衤大&CDP-88E5;
&o-IU+2F90B;	氵&MJ021826;
㐀	卝一
㐂	七七七
㐇	九乙
㐈	人乙
㐉	丁乙
㐊	士乙
㐋	土乙
㐌	丿一也
㐍	爫乙
㐎	文乙
㐏	五乙
㐐	女又乙
㐑	夂&CDP-8971;乙
㐒	刀口乙
㐓	&CDP-8974;口乙
㐔	亠口乙
㐕	由乙
㐖	士口乚
㐗	老乙
㐘	米乙
㐙	一口䒑乙
㐙	&C4-2147;䒑乙
㐚	五口乙
㐛	亻𠂇口乙
㐜	求九
㐝	扌勹口乙
㐞	&CDP-88C8;&GT-K00264;乙
㐞	&CDP-8B72;&GT-K00059;乙
㐟	非乙
㐠	爫子乚乙
㐡	九而大
㐢	氵爫子乙
㐣	广車乙
㐤	九十目&GT-K00264;
㐤	九十&CDP-8BA5;&GT-K00059;
㐥	金且力乙
㐦	&CDP-8BA8;&CDP-8BC2;二丨乙
㐨	予予
㐩	井井
㐫	亠凵㐅
㐬	厶一丿乚丨
㐬	厶一丿丨乚
㐭	亠囗口
㐮	亠&GT-K00059;三丨丨𧘇
㐯	亠口口禾日
㐰	亻口
㐱	𠆢丿丿丿
㐲	亻大
㐳	亻兀
㐴	亻夕
㐵	亻于
㐶	亻巳
㐷	亻马
㐸	亻欠
㐹	亻丿一一⺄
㐺	亻亻人
㐻	亻内
㐼	亻丿廾
㐽	亻风
㐾	亻一兀
㐿	亻手
㑀	亻大丶
㑁	亻屮凵
㑂	亻一内
㑃	亻幺力
㑄	亻母
㑅	亻丿一上
㑆	亻口丿乚
㑇	亻⺈彐
㑈	亻东
㑉	亻几歹
㑊	亻&U-i001+2FF1;亠&CDP-89AB;八
㑊	亻亠&CDP-8CB5;
㑋	亻曲
㑌	亻匚王
㑍	亻耒
㑎	亻𡿨𡿨𡿨山
㑏	亻宀寸
㑐	亻上小
㑑	亻自
㑒	&CDP-8AFC;&CDP-89F4;
㑓	亻厶𠂇又
㑔	亻页
㑕	亻山夕
㑖	亻亻中
㑗	亻身
㑘	亻戈廾
㑙	亻耳乚
㑚	亻&CDP-89FA;⻏
㑛	亻束
㑜	亻扌斤
㑝	亻王廾
㑞	亻火廾
㑟	亻斤&GT-K00264;
㑟	亻丘八
㑠	亻丨丨又土
㑡	亻&CDP-8B7C;卩
㑢	亻土厶卩
㑣	亻木木
㑤	亻艹田
㑥	亻日勹&CDP-89A6;
㑦	亻户犬
㑧	亻禾子
㑨	亻口矢
㑩	亻罒夕
㑪	亻文&CDP-89C6;
㑫	亻𠆢一㇇心
㑫	亻𠆢丶𠃍心
㑬	亻女十口
㑭	亻田丌
㑮	亻冖車
㑯	亻頁
㑰	亻彑𧰨
㑱	亻矛木
㑲	亻十&CDP-8BDC;
㑳	亻&CDP-8D65;&CDP-8D65;
㑴	亻&A-U-i001+20B36;
㑵	亻疒矢
㑶	亻丿一一⺄米
㑷	亻厶&CDP-8958;匕匕
㑸	亻十口&CDP-8974;口
㑹	&CDP-8AFC;由曰
㑺	亻隹乃
㑻	亻宀必山
㑼	亻田夂口
㑽	亻小冖口土
㑾	亻&CDP-8B5E;言
㑿	亻𡿨𡿨𡿨果
㒀	亻&CDP-8BAE;冂十口
㒁	亻囗土丶丿干
㒂	亻艹耂日
㒃	亻弋二貝
㒄	亻&CDP-8BB5;灬
㒅	亻衣夕夕
㒆	亻&CDP-8AFC;口羽
㒇	亻&CDP-8BBE;灬
㒈	亻工丿一乂𤮺
㒉	亻小冖口木
㒊	亻&JSP-457C;
㒋	亻&CDP-88C8;&GT-K00264;斤
㒋	亻&CDP-8B72;&GT-K00059;斤
㒌	亻火火冖几
㒍	亻厶厶厶糸
㒎	亻丿大非
㒏	亻宀三丨丨八&CDP-8971;
㒐	亻竹勹日
㒑	亻匚氵隹
㒒	亻业䒑未
㒓	亻辶土羊
㒔	亻罒勹虫
㒔	亻⺫勹虫
㒕	亻亠乡隹
㒖	亻艹田禸
㒗	亻&CDP-88C8;冖一厶土
㒘	亻臣又立
㒙	亻糸白巾
㒚	亻&C5-2E51;心
㒛	亻羽隹
㒜	亻&CDP-8BA8;&CDP-8BC2;
㒝	亻艹⺫戊丶
㒞	亻山隹&CDP-8DDF;
㒟	亻衣馬
㒠	亻歺又韭
㒡	亻⺤缶丿糸
㒢	亻龠
㒣	亻广亻隹心
㒤	亻耳耳耳
㒥	亻&CDP-8D51;一口䒑
㒥	亻&CDP-8D51;&C4-2147;䒑
㒦	亻田田田土
㒧	亻亠凵㐅禸隹
㒨	亻&GT-K11083;大㔾
㒩	亻彑𧰨虫虫
㒪	𠆢臣臣&GT-K00439;一𧰨
㒫	&CDP-88B9;丿乚
㒬	一兀王
㒭	口丿乚口丿乚
㒮	一兀一𧰨
㒯	⺌一丿乚艹&CDP-8BF8;
㒰	入工
㒱	入夕
㒲	入日
㒴	入屮凵
㒵	白八
㒶	八白
㒷	冂人一八
㒸	丶丿一𧰨
㒹	十目&GT-K00264;十目&GT-K00264;
㒹	十目&GT-K00264;十&CDP-8BA5;&GT-K00059;
㒹	十&CDP-8BA5;&GT-K00059;十目&GT-K00264;
㒹	十&CDP-8BA5;&GT-K00059;十&CDP-8BA5;&GT-K00059;
㒺	冂丶丿𠃊人
㒻	⺜見
㒼	廿&CDP-8C62;
㒽	⺜丶丿夫㔾
㒾	⺜方丿一也
㒿	⺜亠凵㐅禸隹
㓀	冖卜
㓁	冖丿乚
㓂	冖一兀女
㓃	冖言丿七
㓄	厶厶厶𠆢丿丿丿冘
㓅	冫丁
㓆	冫𠆢匕
㓇	冫丿大
㓈	冫石
㓉	冫舌
㓊	冫冂一口
㓋	冫卄&GT-K00264;
㓋	冫卄一&GT-K00059;
㓌	冫𠆢王
㓍	冫亠厶丿乚
㓎	冫&CDP-8D4C;
㓏	冫&GT-36324;口
㓐	冫土丿乚土
㓑	冫土丶丿干
㓒	冫七𠆢⺗
㓓	冫十&CDP-8BDC;
㓔	冫身寸
㓕	冫戊一火
㓖	冫畢
㓗	冫丰刀糸
㓘	几歹玉
㓙	凵文
㓚	工刂
㓛	工刀
㓜	幺刀
㓝	井刂
㓞	丰刀
㓟	皮刂
㓠	⺊囗刂
㓡	缶刂
㓢	夂口刂
㓣	&CDP-8AFC;口刂
㓤	士口刂
㓥	⺌彐刂
㓦	一白刂
㓧	𠆢一㇇口刂
㓧	𠆢丶𠃍口刂
㓨	夾刂
㓩	角刂
㓪	丶艮刂
㓫	大一廾刂
㓬	丶丿夫刀刂
㓭	曰勹𠃊人刂
㓮	冂二丨口刂
㓯	𡿨𡿨𡿨田刂
㓰	一凵田刂
㓱	&C1-4F7E;刂
㓲	户冂卄刂
㓳	日一龰刂
㓳	日一龰刂
㓴	而大刂
㓵	口口一丂刂
㓶	丰刀大刂
㓷	自木刂
㓸	𠁁刂
㓹	厂火火刂
㓺	虍文刂
㓻	罒一止刂
㓼	木人氺刂
㓽	山宀示刂
㓾	尸&CDP-8D6F;刂
㓿	禾𠆢水刂
㔀	日亠口小刂
㔁	癶一口䒑刂
㔁	癶&C4-2147;䒑刂
㔂	米夕㐄刂
㔃	糸&CDP-8CEA;刀
㔄	覀米刂
㔅	&U-i001+2FF1;聿&CDP-89CD;一刂
㔆	兂兂曰刂
㔇	癶&CDP-8B7D;刂
㔈	艹非刂
㔉	尸禹刂
㔊	亠囗口日一刂
㔋	&CDP-8CC9;皿刂
㔌	耳又乑刂
㔍	竹目廾刂
㔎	&AJ1-04248;丿𠂤立&A-IWDSU+5341;刀
㔏	石石石刂
㔐	竹一韭刂
㔑	艹𠂤立&A-IWDSU+5341;刀
㔒	山隹&GT-36324;口刂
㔓	千力
㔔	力口㇣
㔕	丿一一⺄力
㔖	力口㇕
㔗	弗力
㔘	屮凵力
㔙	丶丿一廾力
㔚	舌力
㔛	士口力
㔜	爫子力
㔝	一&CDP-8C62;力
㔞	&U-i001+2FF1;千&CDP-8BC5;匕力
㔟	生丸力
㔠	曰勹𠃊人力
㔡	&CDP-8CC8;㐅比力
㔢	糸色力
㔣	田田田力
㔤	宀釆田力
㔥	罒厶&CDP-8958;匕匕力
㔦	䒑土𠆢丶艮力
㔧	虍田皿力
㔨	勹&CDP-8BC5;匕&CDP-8958;
㔩	勹土厶皿
㔪	勹⺊囗㐅丶丶丶丶
㔫	𠂇匕
㔬	匕日十
㔭	匕日一龰
㔭	匕日一龰
㔮	艹&A-CDP-i001-88BA;厶&CDP-8958;匕匕
㔯	匚八口
㔰	匚夕卜
㔱	匚&U-i001+2FFB;人𦥑
㔲	匚⻟九
㔳	匚𠆢丶&CDP-8B7C;几
㔴	匚田卄&GT-K00264;
㔴	匚田卄一&GT-K00059;
㔵	匚巳巳卄&GT-K00264;
㔵	匚巳巳卄一&GT-K00059;
㔶	匚立&A-IWDSU+5341;&A-compU+65E5;夂工貝
㔶	匚立日十夂工貝
㔷	匚一内
㔸	匚𠂆虍丿乚
㔹	十力
㔺	十十十
㔻	不十
㔼	扌隹十
㔽	⺊囗口
㕀	由㔾
㕁	㐅𠂇厶卩
㕂	厂𠆢一㇇
㕂	厂𠆢丶𠃍
㕃	厂一廾
㕄	厂一幺
㕅	厂甲
㕆	厂十口
㕇	厂立
㕈	厂衣
㕉	厂&CDP-8AFC;口
㕊	厂甫
㕋	厂金
㕌	厂日一寸
㕍	厂隹
㕎	厂土厶皿
㕏	厂一口䒑斗
㕏	厂&C4-2147;䒑斗
㕐	厂臼&CDP-8C40;
㕑	厂十一口䒑寸
㕑	厂十&C4-2147;䒑寸
㕑	厂士口䒑寸
㕒	厂䒑土我
㕓	厂黑土
㕔	厂&CDP-8BD1;&CDP-8BB2;心
㕕	厶厶
㕖	厶厶厶木
㕗	䒑土久厶
㕘	厶厶厶𠆢小
㕙	厶丿乚夂⺈&CDP-8BCB;丶
㕛	又又
㕜	中又
㕝	十口又
㕞	尸巾又
㕟	⺊冂卄又
㕠	冫隹又
㕡	⺊冂一又谷
㕢	⺊冂一又貝
㕣	八口
㕤	口九
㕥	口人
㕦	口大
㕧	口尸
㕨	口几丶
㕩	口丰
㕪	口冘
㕫	口方
㕬	口八厶
㕭	口丿大
㕮	口父
㕯	内口
㕰	口毛
㕱	口尤
㕲	口木
㕳	口凵㐅
㕴	口冖几
㕵	口王
㕶	口五
㕷	口白
㕸	口立
㕹	口犮
㕺	口口丂
㕻	丶不口
㕼	口勹凵㐅
