㑇	亻 负字头 彐
㑊	亻 亠 亦字底
㕮	口 八 乂
㘎	口 门 5 耳 攵
㙍	土 又 又 又 又
㙘	土 覀 女
㙦	全字头 余字底 冬字底 十 土
㛃	丰 刀 女
㛚	女 龴 甬字底
㛹	女 亻 1 日 乂
㟃	山 5 同字心
㠇	山 享字头 小 尤
㠓	山 艹 冖 1 豕
㤘	忄 负字头 彐
㥄	忄 土 傻下角
㧐	扌 又 又
㧑	扌 4 为字框 4
㧟	扌 氵 匚
㫰	日 4 艮
㬊	日 爫 1 左字框 又
㬎	日 幺 幺 灬
㬚	日 充字头 青字底 攵
㭎	木 冂 乂
㭕	木 土 厶
㮾	4 即字旁 月 木
㰀	木 禾 黎右角 全字头 氺
㳇	氵 八 乂
㳘	氵 充字头 儿
㳚	氵 戊 4
㴔	氵 负字头 彐 心
㵐	氵 厂 䒑 䶹 欠
㶲	火 用
㸆	火 告字头 口 非
㸌	火 雨头 隹
㺄	犭 亼 青字底 刂
㻬	王 雨头 二 5
㽏	氵 亼 口 甘
㿠	白 光
䁖	目 米 女
䂮	丰 刀 石
䃅	石 丷 日 十
䃎	石 大 夕 夕
䅟	禾 厶 大 彡
䌹	纟 冂 口
䎃	冂 里无日 羽
䎖	丷 曾字头无丷 日 羽
䏝	月 专
䏡	月 示
䏲	月 丷 弟省
䐃	月 囗 禾
䓖	艹 穴 力
䓛	艹 尸 屮 凵
䓨	艹 冖 缶
䓫	艹 大 可
䓬	艹 卢字头 早
䗖	虫 带字头 冖 巾
䗛	虫 亻 2 夂 青字底
䗪	广 廿 灬 虫
䗴	虫 竹头 壬 廴
䜣	讠 斤
䝙	豸 匚 乂
䢺	屮 凵 阝
䢼	共 阝
䣘	尚头 土 阝
䥽	钅 发无又 又
䦃	钅 艹 者
䲟	鱼 卬字旁 1 卩
䲠	鱼 春字头 日
䲢	月 龹 鱼
䴓	1 巾 鸟
䴔	六 乂 鸟
䴕	歹 刂 鸟
䴖	龶 青字底 鸟
䴗	目 犬 鸟
䴘	反字框 虎 鸟
䴙	尸 口 辛 鸟
䶮	龙 1 大
一	1
丁	丁
丂	1 5
七	七
丄	2 1
丅	1 2
丆	1 3
万	1 万无横
丈	左字框 4
三	三
上	卢字头 1
下	1 卜
丌	丌
不	不
与	与
丏	1 2 5 5
丐	1 卢字头 5
丑	5 里无日
丒	刀 4 1
专	专
且	且
丕	不 1
世	廿 5
丗	带字头 1
丘	丘无横 1
丙	1 冂 人
业	业
丛	人 人 1
东	东二 小
丝	纟 纟
丞	了 水字框 1
丟	王 厶
丠	北字旁 匕 1
両	1 冂 山
丢	壬 厶
丣	丌 匚 叚右角
两	两
严	1 业 3
並	䒑 业
丧	土 丷 畏字底
丨	2
丩	丩
个	全字头 2
丫	丷 2
丬	丬
中	口 2
丮	5 举字底
丯	彡 2
丰	丰
丱	5 3 2 2 1
串	口 口 2
丳	口 口 乔字底
临	临字旁 临右角 临下角
丵	业 南字心
丶	4
丷	丷
丸	丸
丹	周字框 亠
为	4 为字框 4
主	4 斜玉
丼	井 4
丽	1 丽下角 丽下角
举	应字心 八 举字底
丿	3
乀	4
乁	4
乂	乂
乃	乃
乄	5 4
久	久二 4
乆	5 人
乇	3 七
么	3 厶
义	4 乂
乊	3 丷
之	之
乌	乌
乍	乍
乎	3 丷 于无横
乏	3 之
乐	乐二 小
乑	乑
乒	丘无横 1 3
乓	丘无横 1 4
乔	3 大 乔字底
乕	反字框 二 巾
乖	千 北字旁 匕
乗	禾框 龷
乘	禾框 北字旁 匕
乙	6
乚	5
乛	5
乜	5 5
九	九
乞	卧人 6
也	也
习	习
乡	乡
乢	山 5
乣	幺 5
乤	1 卜 6
乥	3 丷 6
书	5 5 2 4
乧	冬字底 十 6
乨	厶 口 5
乩	卢字头 口 5
乪	6 田
乫	力 口 6
乬	匚 叚右角 6
乭	石 6
乮	卯 6
乯	3 丷 于无横 6
买	5 冬字底 大
乱	舌 5
乲	冫 欠 6
乳	爫 子 5
乴	扌 斤 6
乵	辛 5
乶	甫 6
乷	氵 少三 3 6
乸	也 母
乹	十 早 5
乺	戶 斤 6
乻	方 全字头 冬字底 6
乼	氵 4 斜玉 6
乽	者 6
乾	十 早 卧人 6
乿	爫 糸 5
亀	负字头 日 日 5
亁	十 日 干 卧人 6
亂	爫 龴 冂 厶 又 5
亃	米 夕 㐄 5
亄	壳字头 同字心 䒑 5
亅	2
了	了
亇	负字头 2
予	予
争	负字头 争字底
亊	1 丷 隶字框
事	同字心 隶字框
二	二
亍	亍
于	1 于无横
亏	二 5
亐	二 5
云	云
互	1 彑
亓	1 丌
五	五
井	井
亖	二 二
亗	山 二
亘	1 日 1
亙	1 2 候右角 冬字底
亚	1 业
些	止 匕 二
亜	同字心 临字旁 1
亝	厶 厶 厶 二
亞	1 2 1 5 5 1 2 1
亟	了 口 又 1
亠	亠
亡	亡
亢	亠 几
亣	4 丌
交	六 乂
亥	亥
亦	亠 亦字底
产	立无横 厂
亨	享字头 了
亩	亠 田
亪	亠 亦字底 4
享	享字头 子
京	享字头 小
亭	享字头 冖 丁
亮	享字头 冖 几
亯	享字头 日
亰	亠 日 小
亱	亠 亻 日 1
亲	立 朩
亳	享字头 冖 3 七
亴	享字头 冖 土 九
亵	亠 扌 丸 衣省
亶	亠 囗 口 日 1
亷	立无横 厂 肀 2 八
亸	享字头 子 丷 日 十
亹	亠 臼裂 冂 同字心 冖 且
人	人
亻	亻
亼	亼
亽	全字头 4
亾	亾
亿	亻 6
什	亻 十
仁	亻 二
仂	亻 力
仃	亻 丁
仄	厂 人
仅	亻 又
仆	亻 卜
仇	亻 九
仈	亻 八
仉	亻 几
今	今
介	全字头 乔字底
仌	人 人
仍	亻 乃
从	人 人
仏	亻 厶
仐	全字头 十
仑	全字头 匕
仒	全字头 冬字底
