巴	Ab
至	Ai
今	Aj
辶	Ak
了	Al
{留字头}	Am
卯	Am
{定字底}	Ao
疋	Ao
亻	Ar
丨	As
亅	As
{南字心}	Ay
{差字头}	Ay
{美字头}	Ay
羊	Ay
页	Ay
{养字头}	Bc
龹	Bc
广	Bg
{丽下角}	Bi
{青字底}	Bi
㠯	Bi
月	Bi
丩	Bj
㓁	Bk
穴	Bk
里	Bl
专	Ca
疒	Cb
{寿字头}	Cf
{段字旁}	Cf
丰	Cf
龶	Cf
{余字底}	Ch
{禾框}	Ch
禾	Ch
支	Ci
{风省}	Cj
几	Cj
习	Ck
{录字头}	Cl
{聿三}	Cl
{虐字底}	Cl
彐	Cl
彑	Cl
{贯字头}	Cm
母	Cm
犬	Cq
犭	Cq
示	Cs
礻	Cs
毋	Cu
和	Dh
口	Di
兼	Dj
西	Dk
覀	Dk
两	Dl
皿	Dm
{鸟省}	Dn
鸟	Dn
乌	Du
由	Dy
{卢字头}	Fb
卜	Fb
{屯无横}	Fc
䶹	Fc
屮	Fc
彳	Fc
六	Fl
{临下角}	Fo
{冒字头}	Fo
日	Fo
曰	Fo
{北字旁}	Fp
丬	Fp
片	Fp
山	Fs
幺	Fy
白	Gb
辰	Gc
{享字头}	Gg
{高头}	Gg
高	Gg
心	Gi
忄	Gi
可	Gk
马	Gm
自	Go
皮	Gp
齐	Gq
束	Gs
五	Gu
{甬字底}	Gy
用	Gy
爪	Ha
爫	Ha
{反字框}	Hc
{车旁}	Hc
厂	Hc
车	Hc
{学无子}	Hd
{应字心}	Hd
儿	Hd
古	Hg
钅	Hj
龙	Hl
子	Ho
乂	Hq
身	Hs
羽	Hv
{舞字头}	Hw
{以字旁}	Ib
{化字边}	Ib
{比字旁}	Ib
匕	Ib
方	If
弓	Ig
甘	Ig
已	Ii
㔾	Ij
己	Ij
廿	In
{卧人}	Ip
{水字框}	Is
{永无点}	Is
{率字腰}	Is
{益字头}	Is
{鳏下角}	Is
乑	Is
巳	Is
水	Is
氵	Is
氺	Is
{同字心}	Iw
{发无又}	Jc
{带字头}	Jc
{贲字腰}	Jc
{颐字旁}	Jc
丌	Jc
廾	Jc
臣	Jc
艹	Jc
龷	Jc
工	Jg
{少三}	Jk
{尚字头}	Jk
{拣字边无七}	Jk
{步字底}	Jk
{辛变}	Jk
小	Jk
辛	Jk
{为字框}	Jl
力	Jl
爿	Jp
而	Jr
四	Js
罒	Js
{黎右角}	Ju
勿	Ju
文	Jw
早	Jz
{春字头}	Kc
寸	Kd
各	Kg
戶	Kh
户	Kh
{臼裂}	Kj
臼	Kj
老	Kl
耂	Kl
{具字头}	Kq
且	Kq
{于无横}	Ks
{左字框}	Ks
十	Ks
饣	Ks
兔	Kt
{微字框}	Kw
维	Kw
韦	Kw
酉	Ky
{扁字心}	Lc
亍	Lc
冊	Lc
册	Lc
攵	Ld
光	Lg
目	Lm
千	Lq
曲	Lq
欠	Lq
壬	Lr
