骠	baa
屏	bae
陛	bai
剥	bao
绑	bau
毕	bea
邦	bee
柄	bei
雹	beo
碑	beu
败	bia
彪	bie
跋	bii
崩	bio
鄙	biu
补	boa
辨	boe
闭	boi
悖	boo
憋	bou
膊	bua
钵	bue
傍	bui
版	buo
舶	buu
纯	caa
弛	cae
丑	cai
翠	cao
婵	cau
厂	cea
蚕	cee
苍	cei
朝	ceo
蹙	ceu
喘	cia
雌	cie
虫	cii
齿	cio
晨	ciu
诚	coa
痴	coe
阐	coi
忡	coo
炽	cou
猖	cua
稠	cue
催	cui
豺	cuo
舱	cuu
缎	daa
叠	dae
陡	dai
翟	dao
娣	dau
顿	dea
夺	dee
逗	dei
掉	deo
达	deu
睹	dia
蝶	die
迪	dii
盯	dio
典	diu
订	doa
瘩	doe
淡	doi
渎	doo
兑	dou
甸	dua
钉	due
代	dui
貂	duo
舵	duu
驸	faa
缚	fae
附	fai
缝	fao
纷	fau
辐	fea
奉	fee
抚	fei
芙	feo
奋	feu
帆	fia
翡	fie
贩	fii
蜂	fio
吩	fiu
扉	foa
腐	foe
阀	foi
汾	foo
粪	fou
肪	fua
馥	fue
伏	fui
釜	fuo
傅	fuu
纲	gaa
弓	gae
癸	gao
艮	gau
恭	gea
构	gee
杠	gei
革	geo
尴	geu
哽	gia
冈	gie
咕	gii
跪	gio
贵	giu
褂	goa
膏	goe
阁	goi
惯	goo
盖	gou
肝	gua
罐	gue
躬	gui
刽	guo
锅	guu
骅	haa
弧	hae
函	hai
绘	hao
骇	hau
荤	hea
璜	hee
杭	hei
魂	heo
获	heu
虹	hia
呵	hie
喊	hii
辉	hio
呼	hiu
扈	hoa
亨	hoe
阖	hoi
洪	hoo
焊	hou
狐	hua
秽	hue
遑	hui
含	huo
衡	huu
缴	jaa
暨	jae
降	jai
迳	jao
妓	jau
巨	jea
瑾	jee
截	jei
霁	jeo
奇	jeu
蛟	jia
冀	jie
坚	jii
睛	jio
尖	jiu
谨	joa
竭	joe
究	joi
浸	joo
兼	jou
肌	jua
钧	jue
俊	jui
剑	juo
舰	juu
垦	kae
框	kea
枯	kee
逵	kei
扩	keo
奎	keu
眶	kia
吭	kie
喀	kii
叩	kio
昆	kiu
溃	koa
库	koe
窟	koi
寇	koo
窥	kou
驴	laa
履	lae
陋	lai
戮	lao
陵	lau
辆	lea
玲	lee
栏	lei
霖	leo
聋	leu
咙	lia
卢	lie
哩	lii
龄	lio
略	liu
朗	loa
凛	loe
阑	loi
懒	loo
燎	lou
鲁	lua
铝	lue
佬	lui
邻	luo
律	luu
缈	maa
媚	mai
牟	mao
姆	mau
抹	mea
珉	mee
蓦	mei
灭	meo
码	meu
瞄	mia
墨	mie
眸	mii
曼	mio
盟	miu
冥	moa
糜	moe
闵	moi
蜜	moo
煤	mou
膜	mua
铭	mue
牡	mui
觅	muo
朦	muu
妞	nae
奴	nai
妮	nao
奶	nau
撵	nea
匿	nee
挪	nei
拈	neo
捺	neu
嗫	nia
囔	nie
喏	nii
咛	nio
呐	niu
谑	noa
怩	noe
泞	noi
溺	noo
逆	nou
馁	nua
钮	nue
恁	nui
猱	nuu
缥	paa
骈	pao
媲	pau
飘	pea
琵	pee
菩	pei
霈	peo
砰	peu
圃	pia
裴	pie
呸	pii
咆	pio
啪	piu
袍	poa
烹	poe
泡	poi
沛	poo
泼	pou
脾	pua
堡	pue
魄	pui
盆	puo
彷	puu
驱	qaa
屈	qae
劝	qao
嫱	qau
切	qea
契	qee
鹊	qei
秦	qeo
戚	qeu
嵌	qia
歧	qie
峭	qii
跄	qio
遣	qiu
祺	qoa
凄	qoe
阙	qoi
浅	qoo
糗	qou
脐	qua
迄	que
倩	qui
衾	quo
颀	quu
榕	rea
蕊	ree
茸	rei
揉	reo
辱	reu
蠕	ria
闰	roi
溶	roo
儒	rui
仞	ruo
偌	ruu
纱	saa
屎	sae
隧	sai
桑	sao
姝	sau
松	sea
瑟	see
誓	sei
霜	seo
硕	seu
瞬	sia
叔	sie
肾	sii
裳	sio
帅	siu
讼	soa
飒	soe
闩	soi
宋	soo
朔	sou
煞	sua
簌	sue
叟	sui
舒	suo
顺	suu
驼	taa
屠	tae
陀	tai
臀	tao
迢	tau
推	tea
吞	tee
掏	tei
霆	teo
碳	teu
蹋	tia
瞳	tie
踢	tii
棠	tio
吐	tiu
谭	toa
潭	toe
滩	toi
添	too
涛	tou
胎	tua
廷	tue
倜	tui
途	tuo
透	tuu
媪	vau
拗	vei
殴	veu
呆	via
峨	vie
噢	vii
喔	vio
袄	voa
饵	vua
俺	vui
迩	vuu
纨	waa
骛	wao
妩	wau
瓦	wea
鹉	wee
吾	wei
雯	weo
歪	weu
哇	wia
龌	wie
吻	wii
唯	wio
吴	wiu
袜	woa
紊	woe
亡	woi
渭	woo
炜	wou
危	wua
委	wue
伍	wui
翁	wuo
魏	wuu
绚	xaa
犀	xae
陷	xai
熊	xao
嫌	xau
邪	xea
刑	xee
鞋	xei
霞	xeo
硝	xeu
虾	xia
虚	xie
响	xii
肖	xio
省	xiu
诩	xoa
辛	xoe
写	xoi
潇	xoo
羲	xou
猩	xua
锈	xue
仙	xui
凶	xuo
徇	xuu
幼	yaa
尾	yae
隐	yai
羿	yao
娅	yau
辕	yea
瑜	yee
抑	yei
友	yeo
奄	yeu
岩	yia
虞	yie
叶	yii
耀	yio
呀	yiu
谊	yoa
於	yoe
阈	yoi
愉	yoo
烨	you
印	yua
秧	yue
邀	yui
逾	yuo
衙	yuu
骤	zaa
粥	zae
阻	zai
纸	zao
纵	zau
辄	zea
奏	zee
挣	zei
震	zeo
砸	zeu
咒	zia
卓	zie
凿	zii
掌	zio
止	ziu
诛	zoa
颤	zoe
站	zoi
滋	zoo
糟	zou
脏	zua
筑	zue
佐	zui
坐	zuo
徵	zuu
丙	beia
贲	beie
彬	beiu
礴	beui
飙	beuo
裨	boai
亳	boei
