有	ye	月	v	eu	euiaee
道	do	辶	l	oueuiaeee	oueuiaeeeoao
来	le	一	h	oueiuo	eoueiuo
她	ta	女	n	aia	aueaia
大	de	大	h	uo	euo
上	si	丨	s	ee	iee
中	zi	丨	s	aei	iaei
说	so	讠	y	ouiaeua	oaouiaeua
为	wo	丶	d	uao	ouao
着	zo	羊	y	iaeee	oueeeuiaeee
子	za	子	z	ie	aie
那	na	阝	v	aeeu	aeeuai
也	ya	乙	z	ia	aia
得	du	彳	c	iaeeeeio	uuiiaeeeeio
会	hu	人	r	eeao	uoeeao
国	gi	囗	k	eeieo	iaeeieoe
名	mu	夕	x	iae	uaoiae
心	xo	心	d	aoo	oaoo
过	ge	辶	l	eio	eiooao
好	ha	女	n	aie	aueaie
然	ru	灬	l	uaooeuoo	uaooeuoooooo
对	da	又	y	eio	aoeio
自	zu	自	p	iaeee	uiaeee
小	xi	小	s	uo	iuo
天	te	一	h	euo	eeuo
看	ku	手	s	iaeee	ueeuiaeee
手	su	手	p	eei	ueei
里	li	里	s	aeeiee	iaeeiee
家	jo	宀	g	euauuuo	ooaeuauuuo
起	qe	走	z	aea	eieieuoaea
想	xe	心	x	eiuoiaeee	eiuoiaeeeoaoo
事	se	一	h	iaeaeei	eiaeaeei
还	he	辶	l	euio	euiooao
如	ra	女	n	iae	aueiae
面	me	一	h	uiaiieee	euiaiieee
无	we	一	h	eua	eeua
头	to	大	d	oo	ooeuo
方	fo	方	d	eau	oeau
开	ke	廾	n	e	eeui
前	qo	八	b	eiaeeii	oueiaeeii
见	ji	见	s	aua	iaua
成	ce	一	h	uaauo	euaauo
用	yu	用	p	aeei	uaeei
经	ja	纟	j	aoeie	aaeaoeie
笑	xu		p	ueuo	ueoueoueuo
年	nu	丿	p	eeiei	ueeiei
当	di	小	x	aee	iouaee
日	ri	日	s	aee	iaee
意	yo	心	x	oeoueiaee	oeoueiaeeoaoo
此	ci	止	n	ua	ieieua
进	je	辶	l	eeui	eeuioao
把	be	扌	f	aiea	eieaiea
同	ti	冂	k	eiae	iaeiae
全	qu	人	r	eeie	uoeeie
回	hi	囗	k	iae	iaiaee
力	la	力	z	u	au
分	fu	八	b	au	uoau
高	go	亠	w	iaeiaiae	oeiaeiaiae
话	ho	讠	y	ueiiae	oaueiiae
儿	vu	儿	p	a	ua
明	mi	日	q	uaee	iaeeuaee
眼	yi	目	m	aeeauo	iaeeeaeeauo
正	ze	一	h	ieie	eieie
从	cu	人	r	uo	uouo
口	ki	口	s	ae	iae
外	wu	夕	x	io	uaoio
公	gu	八	b	ao	uoao
门	mo	门	d	ia	oia
民	ma	乙	z	eaea	aeaea
二	ve	二	h	e	ee
部	bo	阝	v	oeoueiae	oeoueiaeai
白	bu	白	p	iaee	uiaee
给	ga	纟	j	uoeiae	aaeuoeiae
内	ni	冂	k	uo	iauo
几	ju	几	p	a	ua
别	bi	刂	l	iaeau	iaeauii
次	co	冫	d	uauo	oeuauo
立	lo	立	d	eoue	oeoue
体	tu	人	r	eiuoe	uieiuoe
安	vo	宀	g	aue	ooaaue
快	ko	忄	l	aeuo	ooiaeuo
夫	fe	一	h	euo	eeuo
利	lu	刂	l	ueiuo	ueiuoii
让	ro	讠	y	iee	oaiee
边	ba	辶	l	au	auoao
双	sa	又	y	ao	aoao
强	qa	弓	g	iaeiaeieo	aeaiaeiaeieo
非	fi	丨	s	eeeieee	ieeeieee
飞	fa	乙	z	uo	auo
南	ne	十	s	iaoueei	eiiaoueei
若	re	艹	c	euiae	eiieuiae
且	qi	丨	s	aeee	iaeee
怕	po	忄	l	uiaee	ooiuiaee
暗	vi	日	q	oeoueiaee	iaeeoeoueiaee
农	no	丶	d	auauo	oauauo
品	pi	口	k	iaeiae	iaeiaeiae
片	pu	片	p	iea	uiea
晚	wi	日	q	uaiaeua	iaeeuaiaeua
阿	va	阝	v	eiaei	aieiaei
除	ca	阝	v	uoeeiuo	aiuoeeiuo
破	pe	石	s	auiao	euiaeauiao
线	xa	纟	j	eeauo	aaeeeauo
维	wa	纟	j	uioeeeie	aaeuioeeeie
皮	pa	皮	z	uiao	auiao
孔	ka	子	z	a	aiea
