⺀	゛
⺁	⺁
⺂	乛
⺃	乚
⺄	⺄
⺅	人
⺆	冂
⺇	⺇
⺈	⺈
⺉	刀
⺊	卜
⺋	卩
⺌	小
⺍	ツ
⺎	一儿
⺏	八儿
⺐	尢
⺑	八几
⺒	巳
⺓	幺
⺔	彑
⺕	彐
⺖	心
⺗	心
⺘	手
⺙	攵
⺚	一尢
⺛	旡
⺜	⺜
⺝	月
⺞	歹
⺟	母
⺠	民
⺡	水
⺢	水
⺣	火
⺤	爪
⺥	爪
⺦	爿
⺧	⺧
⺨	犬
⺩	王
⺪	辵
⺫	目
⺬	示
⺭	示
⺮	⺮
⺯	糸
⺰	糸
⺱	冂乂
⺲	罒
⺳	㓁
⺴	冖儿
⺵	罒
⺶	羊
⺷	⺷
⺸	羊
⺹	老
⺺	聿
⺻	聿
⺼	⺼
⺽	⺽
⺾	艹
⺿	艹
⻀	艹
⻁	虍
⻂	衤
⻃	覀
⻄	西
⻅	见
⻆	角
⻇	角
⻈	言
⻉	贝
⻊	足
⻋	车
⻌	辶
⻍	辶
⻎	辶
⻏	阝
⻐	金
⻑	镸
⻒	镸
⻓	镸
⻔	门
⻕	㠯
⻖	阝
⻗	⻗
⻘	龶⺝
⻙	韦
⻚	页
⻛	风
⻜	飞
⻝	食
⻞	食
⻟	食
⻠	食
⻡	巛一自
⻢	马
⻣	骨
⻤	鬼
⻥	鱼
⻦	鸟
⻧	卤
⻨	麦
⻩	黄
⻪	黾
⻫	齐
⻬	齐
⻭	齿
⻮	齿
⻯	龙
⻰	龙
⻱	龟
⻲	龟
⻳	龟
⼀	一
⼁	丨
⼂	丶
⼃	丿
⼄	乙
⼅	丨
⼆	二
⼇	亠
⼈	人
⼉	儿
⼊	入
⼋	八
⼌	冂
⼍	冖
⼎	冫
⼏	几
⼐	凵
⼑	刀
⼒	力
⼓	勹
⼔	匕
⼕	匚
⼖	匚
⼗	十
⼘	卜
⼙	卩
⼚	厂
⼛	厶
⼜	又
⼝	口
⼞	囗
⼟	土
⼠	士
⼡	夂
⼢	夂
⼣	夕
⼤	大
⼥	女
⼦	子
⼧	宀
⼨	寸
⼩	小
⼪	尢
⼫	尸
⼬	屮
⼭	山
⼮	川
⼯	工
⼰	己
⼱	巾
⼲	干
⼳	幺
⼴	广
⼵	廴
⼶	廾
⼷	弋
⼸	弓
⼹	彑
⼺	彡
⼻	彳
⼼	心
⼽	戈
⼾	户
⼿	手
⽀	支
⽁	攵
⽂	文
⽃	斗
⽄	斤
⽅	方
⽆	一尢
⽇	日
⽈	曰
⽉	月
⽊	木
⽋	欠
⽌	止
⽍	歹
⽎	殳
⽏	毋
⽐	匕匕
⽑	毛
⽒	氏
⽓	气
⽔	水
⽕	火
⽖	爪
⽗	八乂
⽘	爻
⽙	爿
⽚	片
⽛	牙
⽜	牛
⽝	犬
⽞	亠幺
⽟	玉
⽠	瓜
⽡	瓦
⽢	甘
⽣	生
⽤	用
⽥	田
⽦	疋
⽧	疒
⽨	癶
⽩	白
⽪	皮
⽫	皿
⽬	目
⽭	矛
⽮	矢
⽯	石
⽰	示
⽱	禸
⽲	禾
⽳	穴
⽴	立
⽵	竹
⽶	米
