	Jd	
⺆	A	
⼌	A	
⼍	A	
⼧	A	
ㄇ	A	
冂	A	
冖	A	
宀	A	
囪	Ac	
囱	Ac	
囱	Ac	Acv
鬥	Ad	Ado
戶	Ahu	
户	Ahu	
戸	Ahu	
𠁣	Ahu	
𠃛	Ahu	
囗	Ak	Akv
門	Am	
门	Am	
𨳇	Am	
𨳈	Am	
丬	Ap	
爿	Ap	
片	Ap	
爿	Ap	Apv
⺲	As	
⺵	As	
䍏	As	
四	As	
罒	As	
𠁤	As	
𠃢	As	
𦉫	As	
𦉭	As	
⺳	Av	
㓁	Av	
穴	Av	
𠕉	Av	
𥤢	Av	
𦉪	Av	
穴	Av	Avv
⻄	Ax	
襾	Ax	
西	Ax	
覀	Ax	
⽩	Ba	
白	Ba	
⺜	Bo	
ㄖ	Bo	
日	Bo	
𫩏	Bo	
曰	Bo	Bov
黃	Bv	
黄	Bv	
黑	Bw	
黒	Bw	
𪐗	Bw	
⺾	C	
⺿	C	
丌	C	
丱	C	
卄	C	
卝	C	
屮	C	
艸	C	
艹	C	
龶	C	
艹	C	
丯	Cf	
丰	Cf	
廾	Cg	
廾	Cg	Cgv
𠥻	Ch	
廿	Ch	Chv
十	Ci	
井	Cj	
生	Cp	
𤯓	Cp	
丗	Csa	
卅	Csa	
𠀍	Csa	
ㅈ	Cv	
卌	Cxi	
㇏	D	
丶	D	
乀	D	
丹	Da	
円	Da	
𠁿	Da	
𠂁	Da	
且	Dh	
𠀇	Dh	
⺝	Dv	
⺼	Dv	
冃	Dv	
月	Dv	
𠔼	Dv	
⼣	Dxi	
夕	Dxi	
面	Ea	
靣	Ea	
⽧	Eb	
⾽	Eb	
疒	Eb	
髟	Eb	Ebv
鼻	Ebi	
鼻	Ebi	
歯	Eci	
齒	Eci	
齿	Eci	
歺	Ed	
歹	Ed	
𣦵	Ed	
𣦶	Ed	
歹	Ed	Edv
耳	Ee	
飛	Ef	
𩙱	Ef	
飞	Ef	Efv
冎	Eg	
⾻	Egu	
骨	Egu	
而	Eh	
自	Ei	
⻇	Ej	
⾓	Ej	
角	Ej	
老	El	
耂	El	
卵	El	
卵	El	Elv
も	Em	
𣬛	Em	
毛	Em	Ema
目	Emu	
舌	Eo	
皮	Ep	
皮	Ep	Epi
欠	Eq	
見	Er	
见	Er	
肉	Err	
㐆	Es	
身	Es	
𠂣	Es	
𨈏	Es	
𨈐	Es	
𨈑	Es	
尸	Esi	
𡰣	Esi	
习	Ev	
羽	Ev	
𦏲	Ev	
羽	Ev	Evv
𦥓	Ex	
囟	Ex	Exi
血	Ex	Exv
㸦	Eya	
牙	Eya	
頁	Eye	
页	Eye	
𩑋	Eye	
キ	F	
𰀁	F	
寸	Fc	
工	Fg	
ㄌ	Fi	
力	Fi	
才	Fp	
手	Fs	
扌	Fs	
龵	Fs	
田	Ga	
貝	Gb	
贝	Gb	
𡈼	Gr	
壬	Gr	Grv
甲	Gs	
曱	Gs	Gsv
厶	Gsi	
玉	Gv	
王	Gw	
王	Gw	
由	Gy	
甴	Gy	Gyv
辰	Hc	
𨑃	Hc	
𨑄	Hc	
𫝕	Hc	
辰	Hc	Hcv
丁	Hd	
𠫔	Hg	
㇀	Hi	
㇐	Hi	
一	Hi	
⼕	Hk	
ㄈ	Hk	
匸	Hk	
𠥓	Hk	
匚	Hk	Hkv
可	Ho	
甫	Hp	
兂	Hr	
旡	Hr	
五	Hu	
三	Hv	
ㄤ	Hy	
尢	Hy	
尤	Hy	
𡯁	Hy	
七	Hz	
⼇	I	
〦	I	
亠	I	
㐭	Ia	
曲	Ia	
𡆪	Ia	
音	Ib	
冊	Ice	
册	Ice	
𠕋	Ice	
𠕋	Ice	
⽅	If	
方	If	
立	Ih	
立	Ih	
⾔	Ii	
言	Ii	
訁	Ii	
讠	Ii	
𧥛	Ii	
𧥜	Ii	
高	Io	
髙	Io	
⿑	Iq	
