⺀	⺀
⺁	⺁
⺂	⺂
⺃	⺃
⺄	⺄
⺅	亻
⺆	冂
⺇	⺇
⺈	⺈
⺉	刂
⺊	⺊
⺋	⺋
⺌	⺌
⺍	⺍
⺐	⺐
⺒	⺒
⺓	幺
⺔	⺔
⺕	⺕
⺖	忄
⺗	⺗
⺘	扌
⺙	攵
⺛	旡
⺜	⺜
⺝	⺝
⺞	歺
⺟	母
⺠	民
⺡	⺡
⺢	⺢
⺣	灬
⺤	爫
⺥	⺥
⺦	丬
⺧	⺧
⺨	犭
⺩	王
⺪	⺪
⺫	罒
⺬	⺬
⺭	礻
⺮	⺮
⺯	糹
⺰	纟
⺲	罒
⺵	⺵
⺶	⺶
⺷	⺷
⺸	⺸
⺹	⺹
⺺	肀
⺻	⺻
⺼	⺼
⺽	⺽
⺾	⺾
⺿	⺿
⻀	卝
⻁	虎
⻂	衤
⻃	覀
⻄	⻄
⻅	见
⻈	讠
⻉	贝
⻊	⻊
⻋	车
⻌	辶
⻍	⻍
⻎	⻎
⻏	阝
⻐	钅
⻑	⻑
⻒	⻒
⻓	长
⻔	门
⻖	阝
⻗	⻗
⻙	韦
⻚	页
⻜	飞
⻝	食
⻞	⻞
⻟	飠
⻠	饣
⻢	马
⻣	骨
⻤	鬼
⻥	鱼
⻦	鸟
⻩	黄
⻪	黾
⻫	斉
⻬	齐
⻭	歯
⻮	齿
⻯	⻯
⻰	龙
⻱	龜
⻲	亀
⻳	龟
⼀	一
⼁	丨
⼂	丶
⼃	丿
⼄	乙
⼅	⼅
⼆	二
⼇	⼇
⼈	人
⼉	儿
⼊	⼊
⼋	八
⼌	冂
⼍	冖
⼎	⼎
⼏	几
⼐	凵
⼑	⼑
⼒	力
⼓	勹
⼔	匕
⼕	⼕
⼖	匚
⼗	⼗
⼘	⼘
⼙	⼙
⼚	厂
⼛	厶
⼜	又
⼝	口
⼞	囗
⼟	土
⼠	士
⼡	⼡
⼢	⼢
⼣	⼣
⼤	大
⼥	女
⼦	子
⼧	宀
⼨	寸
⼩	小
⼪	尢
⼫	尸
⼬	屮
⼭	山
⼮	巛
⼯	工
⼰	⼰
⼱	巾
⼲	干
⼳	⼳
⼴	⼴
⼵	廴
⼶	廾
⼷	弋
⼸	⼸
⼹	⼹
⼺	彡
⼻	彳
⼼	心
⼽	戈
⼾	户
⼿	手
⽀	支
⽁	攴
⽂	⽂
⽃	斗
⽄	斤
⽅	⽅
⽆	无
⽇	日
⽈	曰
⽉	月
⽊	木
⽋	欠
⽌	止
⽍	歹
⽎	⽎
⽏	⽏
⽑	毛
⽒	氏
⽓	气
⽔	水
⽕	火
⽖	爪
⽙	爿
⽚	片
⽛	牙
⽜	牛
⽝	犬
⽠	⽠
⽡	⽡
⽢	甘
⽣	⽣
⽤	用
⽥	田
⽦	疋
⽧	⽧
⽨	癶
⽩	⽩
⽪	皮
⽫	门
⽬	目
⽮	矢
⽯	石
⽰	示
⽱	⽱
⽲	禾
⽳	穴
⽴	立
⽵	竹
⽶	米
⽷	⽷
⽸	缶
⽺	羊
⽻	羽
⽼	老
⽽	而
⽾	⽾
⽿	⽿
⾀	聿
⾂	臣
⾃	自
⾄	至
