⽧	ab
疒	ab
𤕫	ab
丁	ad
⺂	ae
⺃	ae
⺄	ae
く	ae
の	ae
フ	ae
レ	ae
ヿ	ae
ㄅ	ae
ㄋ	ae
ㄑ	ae
ㄟ	ae
ㄣ	ae
ㄥ	ae
ㆴ	ae
ㆹ	ae
㇁	ae
㇂	ae
㇃	ae
㇄	ae
㇅	ae
㇆	ae
㇇	ae
㇈	ae
㇉	ae
㇊	ae
㇋	ae
㇌	ae
㇍	ae
㇎	ae
㇗	ae
㇙	ae
㇛	ae
㇞	ae
㇡	ae
㇢	ae
乁	ae
乚	ae
乛	ae
	ae
	ae
	ae
	ae
	ae
	ae
𠃊	ae
𠃍	ae
𠄌	ae
𬼂	ae
乁	ae
丯	af
丰	af
缶	af
龶	af
	af
	af
𬼈	af
⿁	ag
鬼	ag
ㆸ	ai
乙	ai
	ai
	ai
𠃉	ai
⽾	al
六	al
耒	al
	al
六	al
𦓤	al
皿	am
門	am
门	am
𨳇	am
𨳈	am
丬	ap
爿	ap
片	ap
	ap
	ap
	ap
	ap
舌	as
	as
未	aw
⼸	bg
弓	bg
𢎗	bg
𢎜	bg
𢎧	bg
〤	bi
ㆫ	bi
ㆼ	bi
㐅	bi
乂	bi
	bi
⺔	bj
⺕	bj
⼹	bj
ㅌ	bj
彐	bj
彑	bj
	bj
	bj
	bj
	bj
𬼖	bj
𰀄	bj
𠂎	bk
𠂑	bk
卵	bl
丣	bm
卯	bm
戼	bm
面	bm
靣	bm
	bm
𫝁	bm
𬻇	bm
女	bn
氏	bs
⺻	bv
聿	bv
肀	bv
	bv
	bv
𦘒	bv
ㄊ	by
云	by
	by
不	cb
	cb
𣎴	cb
虫	cc
飛	cf
飞	cf
𩙱	cf
古	cg
火	ch
灬	ch
	ch
	ch
支	ci
及	cj
	cj
尸	cs
	cs
	cs
𡰣	cs
业	cy
	cy
	cy
	cy
	cy
〇	dk
㇣	dk
口	dk
	dk
	dk
里	dl
⿌	dm
民	dm
黽	dm
黾	dm
黾	dm
兂	du
无	du
旡	du
由	dy
甴	dy
干	eg
見	ej
见	ej
	ej
木	em
朩	em
𣎳	em
欠	eq
彡	es
	es
	es
𠂉	et
穴	ex
	ex
𠕉	ex
𥤢	ex
也	ey
㡀	fb
	fb
	fb
辰	fc
𠩐	fc
𨑃	fc
𨑄	fc
𫝕	fc
⾻	fg
冎	fg
骨	fg
	fg
ㆪ	fi
㇀	fi
㇐	fi
一	fi
且	fq
𠀇	fq
⺬	fs
⽰	fs
示	fs
礻	fs
𥘅	fs
𱍐	fs
亡	fw
亾	fw
歹	gd
歺	gd
	gd
𣦵	gd
𣦶	gd
高	gg
髙	gg
	gg
	gg
	gg
句	gj
⼅	gs
ㄧ	gs
ㆳ	gs
㇚	gs
丨	gs
亅	gs
士	gs
土	gt
韋	gw
韦	gw
𮧮	gw
𮧯	gw
𮧰	gw
⺶	gy
⺷	gy
⺸	gy
羊	gy
羋	gy
芈	gy
	gy
	gy
𢆉	gy
𦍋	gy
𦍍	gy
ㅈ	hb
ㆿ	hb
䒑	hb
丷	hb
八	hb
癶	hb
	hb
	hb
	hb
	hb
𭼽	hb
夫	hf
⾕	hg
谷	hg
	hg
𠔌	hg
𧮫	hg
⼡	hi
⼢	hi
ㄆ	hi
夂	hi
夊	hi
子	hi
	hi
攴	hp
攵	hp
壴	hu
⺗	hx
㣺	hx
心	hx
忄	hx
𢖩	hx
冊	ic
册	ic
	ic
	ic
𠕁	ic
𠕋	ic
𠕋	ic
㇏	id
丶	id
乀	id
⾉	ig
艮	ig
	ig
ㆢ	ij
