灬	Bbi	biāo
⺊	Bbu	
卜	Bbu	bǔ
魚	Be	yú
瓜	Bga	guā
{虍上}	Bhu	
虍	Bhu	hū
虎	Bhu	hǔ
亦	Bi	yì
示	Bka	shì
鹵	Blu	lǔ
{馬上}	Bma	
馬	Bma	mǎ
末	Bmo	mò
{乍下}	Bo	
{龍右}	Bo	
未	Bo	wèi
爪	Bsa	zhuǎ
飛	Cfo	fēi
禾	Che	hé
乙	Ci	yǐ
乚	Ci	yǐ
世	Cka	shì
生	Cke	shēng
氵	Cko	shui
來	Cle	lái
马	Cma	mǎ
女	Cne	nǚ
{鼠下}	Co	
又	Cu	yòu
言	De	yán
已	Di	yǐ
{互中}	Dji	
己	Dji	jǐ
彑	Dji	jì
金	Djo	jīn
口	Dke	kǒu
〇	Dli	
宀	Dme	mián
母	Dme	mǔ
{囟框}	Do	
{母框}	Do	
ㄩ	Do	
屮	Do	∅
廴	Do	yǐn
皮	Dpi	pí
长	Dre	cháng
牙	Fa	yá
{斲左}	Fde	
电	Fdi	diàn
鱼	Fe	yú
匚	Ffe	fāng
一	Fi	yī
甲	Fja	jiǎ
手	Fke	shǒu
龵	Fke	shǒu
丂	Fki	kǎo
面	Fme	miàn
乃	Fne	nǎi
{亜下}	Fo	
{亞下}	Fo	
{亞中}	Fo	
{奉下}	Fo	
㐄	Fo	∅
而	Fo	ér
丿	Fpe	piě
丆	Ga	ān
厂	Ga	ān
貝	Gbo	bèi
頁	Ge	yè
革	Gge	gé
广	Ggo	guǎng
夭	Gi	yāo
見	Gje	jiàn
九	Gju	jiǔ
{豕下}	Gka	
豕	Gka	shǐ
扌	Gke	shou
{鹿上}	Glu	
鹿	Glu	lù
麻	Gma	má
目	Gme	mù
皿	Gmo	mǐn
疒	Gne	nè
⺧	Gnu	
牛	Gnu	niú
{荒下}	Go	
{黽中}	Go	
儿	Go	ér
罒	Go	wǎng
贝	Hbo	bèi
冊	Hce	cè
页	He	yè
亥	Hhe	hài
{冂丶}	Ho	
{周框}	Ho	
{雋下}	Ho	
冂	Ho	∅
勹	Ho	∅
其	Hqi	qí
辰	Hre	chén
齒	Hri	chǐ
止	Hsi	zhǐ
龰	Hsi	zhǐ
田	Hti	tián
习	Hxi	xí
走	Hze	zǒu
自	Hzi	zì
瓦	Ja	wǎ
巴	Jba	bā
寸	Jci	cùn
刀	Jdi	dāo
曰	Je	yuē
