## 已过时，仅供参考。「爿」编码错了，应是 Jpa。
## 宇浩为 Python 处理方便高效，自己定义了一套拼音记号，如 川 ĉ Ȁ => ch uan

region,root,alias,ma,dama,xiaoma,shengmu,yunmu,julei,notes
音,ƶ,ƶ,z,z,,,,,z
音,Ɵ,Ɵ,u,u,,,,,iou
音,ẑ,ẑ,s,s,,,,,zh
音,ĉ,ĉ,r,r,,,,,ch
音,Ø,Ø,o,o,,,,,wuyin
音,î,î,o,o,,,,,in
音,Ā,Ā,o,o,,,,,iang
音,Ē,Ē,o,o,,,,,uei
音,ę,ę,o,o,,,,,ei
音,ŕ,ŕ,o,o,,,,,ren
音,Ǎ,Ǎ,o,o,,,,,uang=iang
音,ə,ə,o,o,,,,,er
音,ŝ,ŝ,k,k,,,,,sh
音,Å,Å,i,i,,,,,iao
音,õ,õ,i,i,,,,,ong
音,ĩ,ĩ,i,i,,,,,ing
音,Ĳ,Ĳ,i,i,,,,,ri
音,ō,ō,i,i,,,,,iong=ong
音,Ǝ,Ǝ,i,i,,,,,uen
音,Ȁ,Ȁ,i,i,,,,,uan
音,ɥ,ɥ,i,i,,,,,zi
音,ꜵ,ꜵ,i,i,,,,,ao
音,ã,ã,e,e,,,,,ang
音,æ,æ,e,e,,,,,ai
音,ê,ê,e,e,,,,,en
音,ö,ö,e,e,,,,,ou
音,ü,ü,e,e,,,,,ü
音,ē,ē,e,e,,,,,ie
音,ě,ě,e,e,,,,,ue
音,ř,ř,e,e,,,,,ru
音,ẽ,ẽ,e,e,,,,,eng
音,â,â,a,a,,,,,an
音,å,å,a,a,,,,,ian
音,ā,ā,a,a,,,,,ia
音,ǎ,ǎ,a,a,,,,,ua
橫,而,而,zo,z,o,,ə,而,
橫,面,面,zma,z,ma,m,å,而,
撇,金,金,zjo,z,jo,j,î,,
橫,西,西,yxi,y,xi,x,i,西,
橫,酉,酉,yu,y,u,,Ɵ,西,
撇,气,气,yqi,y,qi,q,i,竹,
撇,竹,竹,ysu,y,su,ẑ,u,竹,
撇,𠂉,𠂉,yo,y,o,,Ø,竹,
豎,刂,刂,ydi,y,di,d,ꜵ,,
捺,灬,灬,ybi,y,bi,b,Å,,
折,阝,阝,yfu,y,fu,f,u,,
捺,羊,羊,xo,x,o,,Ā,羊,
捺,𢆉,𢆉,xo,x,o,,ŕ,羊,
捺,䒑,䒑,xci,x,ci,c,ꜵ,丷,
捺,丷,丷,xba,x,ba,b,a,丷,
豎,咼,咼,wga,w,ga,g,ǎ,咼,
豎,骨,骨,wgu,w,gu,g,u,咼,
撇,亻,亻,wo,w,o,,ŕ,亻,
撇,隹,隹,wco,w,co,c,Ē,亻,
撇,人,人,wo,w,o,,ŕ,人,
撇,僉,僉,wqa,w,qa,q,å,人,
撇,合,合,whe,w,he,h,e,人,
折,力,力,wli,w,li,l,i,,
豎,水,水,wko,w,ko,ŝ,Ē,,
豎,申,申,wke,w,ke,ŝ,ê,,
豎,禺,禺,we,w,e,,ü,,
捺,戶,戶,vhu,v,hu,h,u,𠂆,
撇,斤,斤,vjo,v,jo,j,î,𠂆,
撇,𠂆,𠂆,vi,v,i,,i,𠂆,
橫,土,土,vtu,v,tu,t,u,土,
橫,士,士,vki,v,ki,ŝ,Ĳ,土,
橫,耂,耂,vli,v,li,l,ꜵ,土,
橫,龶,龶,vke,v,ke,ŝ,ẽ,土,
橫,,,vo,v,o,,Ø,土,
撇,乂,乂,vi,v,i,,i,乂,
豎,业,业,ve,v,e,,ē,,
豎,山,山,vka,v,ka,ŝ,â,,
捺,米,米,vmi,v,mi,m,i,,
豎,见,见,vja,v,ja,j,å,,
捺,讠,讠,va,v,a,,å,,
橫,车,车,vre,v,re,ĉ,e,,
捺,衤,衤,ti,t,i,,i,𧘇,
橫,,,to,t,o,,Ø,𧘇,
撇,𧘇,𧘇,to,t,o,,Ø,𧘇,
撇,夂,夂,tpu,t,pu,p,u,夂,
撇,攵,攵,tpu,t,pu,p,u,夂,
橫,十,十,tki,t,ki,ŝ,Ĳ,十,
豎,尚,尚,tke,t,ke,ŝ,ã,,
豎,巾,巾,tjo,t,jo,j,î,,
捺,火,火,tho,t,ho,h,o,,
豎,由,由,tu,t,u,,Ɵ,,
折,皮,皮,tpi,t,pi,p,i,,
橫,木,木,smu,s,mu,m,u,木,
折,彐,彐,sji,s,ji,j,i,彐,
折,肀,肀,se,s,e,,ü,彐,
折,隶,隶,sli,s,li,l,i,彐,
橫,尢,尢,so,s,o,,Ǎ,尢,
橫,尤,尤,su,s,u,,Ɵ,尢,
捺,⺀,⺀,so,s,o,,ə,冫,
捺,冫,冫,so,s,o,,ə,冫,
橫,,,so,s,o,,ə,冫,
橫,二,二,so,s,o,,ə,二,
橫,丂,丂,ski,s,ki,k,ꜵ,,
折,尸,尸,ski,s,ki,ŝ,Ĳ,,
捺,户,户,shu,s,hu,h,u,,
撇,用,用,si,s,i,,ō,,
橫,至,至,ssi,s,si,ẑ,Ĳ,,
撇,舌,舌,ske,s,ke,ŝ,e,,
撇,,,so,s,o,,Ē,,
撇,烏,烏,ru,r,u,,u,烏,
撇,鳥,鳥,rni,r,ni,n,Å,烏,
折,㔾,㔾,rje,r,je,j,ē,,
橫,丌,丌,rji,r,ji,j,i,,
捺,文,文,ri,r,i,,Ǝ,,
撇,毛,毛,rmi,r,mi,m,ꜵ,,
橫,王,王,ro,r,o,,Ǎ,,
橫,石,石,rki,r,ki,ŝ,Ĳ,,
捺,立,立,rli,r,li,l,i,,
撇,身,身,rke,r,ke,ŝ,ê,,
橫,車,車,rre,r,re,ĉ,e,,
捺,门,门,rme,r,me,m,ê,,
豎,黑,黑,rho,r,ho,h,ę,,
折,丩,丩,qju,q,ju,j,Ɵ,𠂎,
折,丱,丱,qgi,q,gi,g,Ȁ,𠂎,
撇,卯,卯,qmi,q,mi,m,ꜵ,𠂎,
撇,𠂎,𠂎,qo,q,o,,Ø,𠂎,
撇,几,几,qji,q,ji,j,i,几,
撇,殳,殳,qku,q,ku,ŝ,u,几,
撇,食,食,qki,q,ki,ŝ,Ĳ,,
橫,犬,犬,pqi,p,qi,q,Ȁ,犬,
撇,犭,犭,pqi,p,qi,q,Ȁ,犬,
撇,豸,豸,psi,p,si,ẑ,Ĳ,犬,
橫,大,大,pda,p,da,d,a,大,
橫,夫,夫,pfu,p,fu,f,u,大,
橫,𡗗,𡗗,pdi,p,di,d,i,大,
橫,雨,雨,pe,p,e,,ü,,
折,巛,巛,nri,n,ri,ĉ,Ȁ,川,
撇,川,川,nri,n,ri,ĉ,Ȁ,川,
橫,丆,丆,nre,n,re,ĉ,ã,厂,
橫,厂,厂,nre,n,re,ĉ,ã,厂,
撇,冖,冖,nmi,n,mi,m,i,冖,
撇,,,no,n,o,,Ø,冖,
捺,丶,丶,nda,n,da,d,å,丶,
橫,亍,亍,nru,n,ru,ĉ,u,,
折,厶,厶,nsi,n,si,s,i,,
撇,壬,壬,no,n,o,,ŕ,,
撇,月,月,ne,n,e,,ě,,
撇,缶,缶,nfe,n,fe,f,ö,,
豎,足,足,nzu,n,zu,ƶ,u,,
撇,,,no,n,o,,Ø,,
撇,風,風,mfe,m,fe,f,ẽ,虫,
橫,卅,卅,msa,m,sa,s,a,艹,
橫,艹,艹,mci,m,ci,c,ꜵ,艹,
豎,,,mo,m,o,,Ø,艹,
橫,工,工,mgi,m,gi,g,õ,工,
橫,瓦,瓦,ma,m,a,,ǎ,工,
折,乜,乜,mme,m,me,m,ē,也,
折,也,也,me,m,e,,ē,也,
橫,七,七,mqi,m,qi,q,i,七,
折,コ,コ,mko,m,ko,k,Ǎ,コ,
折,丑,丑,mre,m,re,ĉ,ö,コ,
折,𫝀,𫝀,mu,m,u,,u,コ,
橫,不,不,mbu,m,bu,b,u,,
橫,耳,耳,mo,m,o,,ə,,
折,艮,艮,mge,m,ge,g,ê,,
豎,虫,虫,mri,m,ri,ĉ,õ,,
橫,𠂇,𠂇,mzo,m,zo,ƶ,o,,
橫,長,長,lre,l,re,ĉ,ã,長,
橫,镸,長,,l,re,ĉ,ã,長,
橫,髟,髟,lbi,l,bi,b,Å,長,
折,予,予,le,l,e,,ü,子,
折,子,子,lzi,l,zi,ƶ,ɥ,子,
捺,亡,亡,lo,l,o,,Ǎ,亡,
捺,𣎆,𣎆,llo,l,lo,l,o,亡,
捺,亠,亠,lte,l,te,t,ö,亠,
捺,高,高,lgi,l,gi,g,ꜵ,亠,
捺,,,lo,l,o,,Ø,亠,
折,了,了,lle,l,le,l,e,了,
豎,丨,丨,lgi,l,gi,g,Ǝ,,
橫,兀,兀,lu,l,u,,u,,
撇,匕,匕,lbi,l,bi,b,i,,
撇,向,向,lxo,l,xo,x,Ā,,
豎,小,小,lxi,l,xi,x,Å,,
橫,干,干,lga,l,ga,g,â,,
折,幺,幺,li,l,i,,Å,,
捺,方,方,lfe,l,fe,f,ã,,
豎,曲,曲,lqe,l,qe,q,ü,,
撇,欠,欠,lqa,l,qa,q,å,,
橫,正,正,lse,l,se,ẑ,ẽ,,
捺,穴,穴,lxe,l,xe,x,ě,,
折,糸,糸,lsi,l,si,s,ɥ,,
捺,辶,辶,lro,l,ro,ĉ,o,,
豎,非,非,lfo,l,fo,f,ę,,
橫,臣,臣,kre,k,re,ĉ,ê,臣,
橫,𦣞,𦣞,ki,k,i,,i,臣,
撇,白,白,kbe,k,be,b,æ,白,
撇,臼,臼,kju,k,ju,j,Ɵ,白,
撇,彡,彡,kka,k,ka,ŝ,â,彳,
撇,彳,彳,kri,k,ri,ĉ,Ĳ,彳,
撇,,,ko,k,o,,Ø,彳,
橫,弋,弋,ki,k,i,,i,弋,
橫,戈,戈,kge,k,ge,g,e,弋,
橫,戊,戊,ku,k,u,,u,弋,
折,凵,凵,kka,k,ka,k,â,凵,
折,屮,屮,kci,k,ci,c,ꜵ,凵,
橫,三,三,ksa,k,sa,s,â,,
豎,且,且,kqe,k,qe,q,ē,,
捺,丬,丬,kqo,k,qo,q,Ā,,
撇,入,入,ke,k,e,,ř,,
撇,八,八,kba,k,ba,b,a,,
撇,千,千,kqa,k,qa,q,å,,
橫,古,古,kgu,k,gu,g,u,,
豎,囗,囗,ko,k,o,,Ē,,
折,弓,弓,kgi,k,gi,g,õ,,
橫,甫,甫,kfu,k,fu,f,u,,
折,纟,纟,ksi,k,si,s,ɥ,,
捺,辛,辛,kxo,k,xo,x,î,,
豎,里,里,kli,k,li,l,i,,
折,马,马,kma,k,ma,m,a,,
橫,寸,寸,jci,j,ci,c,Ǝ,𬺰,
撇,甶,甶,jfu,j,fu,f,u,鬼,
撇,鬼,鬼,jgo,j,go,g,Ē,鬼,
折,爿,爿,jpe,j,pe,p,ã,片,
撇,片,片,jpa,j,pa,p,å,片,
豎,日,日,ji,j,i,,Ĳ,日,
豎,早,早,jzi,j,zi,ƶ,ꜵ,日,
豎,曰,曰,je,j,e,,ě,日,
豎,上,上,jke,j,ke,ŝ,ã,上,
橫,丰,丰,jfe,j,fe,f,ẽ,,
捺,之,之,jsi,j,si,ẑ,Ĳ,,
折,刀,刀,jdi,j,di,d,ꜵ,,
撇,夕,夕,jxi,j,xi,x,i,,
撇,心,心,jxo,j,xo,x,î,,
豎,見,見,jja,j,ja,j,å,,
撇,饣,饣,jki,j,ki,ŝ,Ĳ,,
撇,,,jo,j,o,,Ø,,
橫,𬺰,𬺰,jo,j,o,,Ø,,
豎,門,門,hme,h,me,m,ê,門,
豎,鬥,鬥,hde,h,de,d,ö,門,
豎,贝,贝,hbo,h,bo,b,ę,贝,
橫,页,页,he,h,e,,ē,贝,
豎,止,止,hsi,h,si,ẑ,Ĳ,止,
豎,齒,齒,hri,h,ri,ĉ,Ĳ,止,
豎,冂,冂,hji,h,ji,j,ō,冂,
豎,冊,冊,hce,h,ce,c,e,冂,
撇,勹,勹,hbi,h,bi,b,ꜵ,冂,
撇,乌,乌,hu,h,u,,u,乌,
撇,鸟,鸟,hni,h,ni,n,Å,乌,
橫,丁,丁,hdi,h,di,d,ĩ,丁,
橫,下,下,hxa,h,xa,x,ā,丁,
折,习,习,hxi,h,xi,x,i,,
捺,亥,亥,hhe,h,he,h,æ,,
橫,其,其,hqi,h,qi,q,i,,
撇,忄,忄,hxo,h,xo,x,î,,
豎,田,田,hta,h,ta,t,å,,
撇,自,自,hzi,h,zi,ƶ,ɥ,,
撇,舟,舟,hse,h,se,ẑ,ö,,
橫,走,走,hze,h,ze,ƶ,ö,,
橫,辰,辰,hre,h,re,ĉ,ê,,
撇,魚,魚,he,h,e,,ü,,
撇,𠂤,𠂤,hdo,h,do,d,Ē,,
捺,鹿,鹿,glu,g,lu,l,u,麻,
捺,麻,麻,gma,g,ma,m,a,麻,
豎,貝,貝,gbo,g,bo,b,ę,貝,
