灬	Bbⓘ	biāo
⺊	Bbⓤ	
卜	Bbⓤ	bǔ
瓜	Bgⓐ	guā
{虍上}	Bhⓤ	
虍	Bhⓤ	hū
虎	Bhⓤ	hǔ
示	Bkⓐ	shì
鹵	Blⓤ	lǔ
{馬上}	Bmⓐ	
馬	Bmⓐ	mǎ
末	Bmⓞ	mò
爪	Bsⓐ	zhuǎ
魚	Bⓔ	yú
亦	Bⓘ	yì
{乍下}	Bⓞ	
{龍右}	Bⓞ	
未	Bⓞ	wèi
癶	Cbⓞ	bō
飛	Cfⓞ	fēi
禾	Chⓔ	hé
世	Ckⓐ	shì
生	Ckⓔ	shēng
氵	Ckⓞ	shui
來	Clⓔ	lái
女	Cnⓔ	nǚ
乙	Cⓘ	yǐ
乚	Cⓘ	yǐ
{鼠下}	Cⓞ	
ス	Cⓞ	
マ	Cⓞ	
又	Cⓤ	yòu
{互中}	Djⓘ	
己	Djⓘ	jǐ
彑	Djⓘ	jì
金	Djⓞ	jīn
口	Dkⓔ	kǒu
〇	Dlⓘ	
宀	Dmⓔ	mián
母	Dmⓔ	mǔ
皮	Dpⓘ	pí
长	Drⓔ	cháng
言	Dⓔ	yán
已	Dⓘ	yǐ
{囟框}	Dⓞ	
{母框}	Dⓞ	
廴	Dⓞ	yǐn
{斲左}	Fdⓔ	
电	Fdⓘ	diàn
匚	Ffⓔ	fāng
甲	Fjⓐ	jiǎ
食	Fkⓐ	shí
手	Fkⓔ	shǒu
龵	Fkⓔ	shǒu
丂	Fkⓘ	kǎo
水	Fkⓞ	shuǐ
面	Fmⓔ	miàn
乃	Fnⓔ	nǎi
丿	Fpⓔ	piě
壴	Fsⓤ	zhù
牙	Fⓐ	yá
鱼	Fⓔ	yú
一	Fⓘ	yī
{亜下}	Fⓞ	
{亞下}	Fⓞ	
{亞中}	Fⓞ	
{奉下}	Fⓞ	
㐄	Fⓞ	∅
而	Fⓞ	ér
貝	Gbⓞ	bèi
革	Ggⓔ	gé
广	Ggⓞ	guǎng
見	Gjⓔ	jiàn
九	Gjⓤ	jiǔ
{豕下}	Gkⓐ	
豕	Gkⓐ	shǐ
扌	Gkⓔ	shou
{鹿上}	Glⓤ	
鹿	Glⓤ	lù
麻	Gmⓐ	má
目	Gmⓔ	mù
皿	Gmⓞ	mǐn
疒	Gnⓔ	nè
⺧	Gnⓤ	
牛	Gnⓤ	niú
頁	Gⓔ	yè
夭	Gⓘ	yāo
{荒下}	Gⓞ	
{黽中}	Gⓞ	
儿	Gⓞ	ér
罒	Gⓞ	wǎng
贝	Hbⓞ	bèi
冊	Hcⓔ	cè
亥	Hhⓔ	hài
{鸟上}	Hnⓘ	
鸟	Hnⓘ	niǎo
其	Hqⓘ	qí
辰	Hrⓔ	chén
齒	Hrⓘ	chǐ
止	Hsⓘ	zhǐ
龰	Hsⓘ	zhǐ
田	Htⓘ	tián
习	Hxⓘ	xí
走	Hzⓔ	zǒu
自	Hzⓘ	zì
页	Hⓔ	yè
{冂丶}	Hⓞ	
{周框}	Hⓞ	
{雋下}	Hⓞ	
冂	Hⓞ	∅
勹	Hⓞ	∅
乌	Hⓤ	wū
巴	Jbⓐ	bā
寸	Jcⓘ	cùn
刀	Jdⓘ	dāo
丰	Jfⓔ	fēng
{卑上}	Jfⓤ	
甶	Jfⓤ	fú
冎	Jgⓐ	guǎ
咼	Jgⓐ	guǎ
工	Jgⓘ	gōng
{鬼左}	Jgⓞ	
鬼	Jgⓞ	guǐ
骨	Jgⓤ	gǔ
矢	Jkⓐ	shǐ
{丄丶}	Jkⓔ	
丄	Jkⓔ	shàng
上	Jkⓔ	shàng
门	Jmⓔ	mén
臣	Jrⓔ	chén
巛	Jrⓘ	chuān
巜	Jrⓘ	chuān
川	Jrⓘ	chuān
舟	Jsⓔ	zhōu
巳	Jsⓘ	sì
夕	Jxⓘ	xī
心	Jxⓞ	xīn
忄	Jxⓞ	xin
早	Jzⓘ	zǎo
瓦	Jⓐ	wǎ
曰	Jⓔ	yuē
{姬右}	Jⓘ	
{弬右}	Jⓘ	
{曾中}	Jⓘ	
{横日}	Jⓘ	
日	Jⓘ	rì
{于下}	Jⓞ	
{介下}	Jⓞ	
八	Kbⓐ	bā
白	Kbⓔ	bái
屮	Kcⓘ	cǎo
丁	Kdⓘ	dīng
丅	Kdⓘ	dīng
甫	Kfⓤ	fǔ
戈	Kgⓔ	gē
弓	Kgⓘ	gōng
古	Kgⓤ	gǔ
⺽	Kjⓤ	
臼	Kjⓤ	jiù
{二撇}	Kkⓐ	
ㄩ	Kkⓐ	
彡	Kkⓐ	shān
里	Klⓘ	lǐ
马	Kmⓐ	mǎ
且	Kqⓔ	qiě
千	Kqⓘ	qiān
丬	Kqⓞ	qiáng
丆	Krⓔ	chǎng
厂	Krⓔ	chǎng
彳	Krⓘ	chì
三	Ksⓐ	sān
{纟上}	Ksⓘ	
之	Ksⓘ	zhī
纟	Ksⓘ	sī
下	Kxⓐ	xià
辛	Kxⓞ	xīn
入	Kⓔ	rù
弋	Kⓘ	yì
{具上}	Kⓞ	
{微上}	Kⓞ	
囗	Kⓞ	wéi
戊	Kⓤ	wù
匕	Lbⓘ	bǐ
髟	Lbⓘ	biāo
方	Lfⓔ	fāng
非	Lfⓞ	fēi
干	Lgⓐ	gàn
丨	Lgⓘ	gǔn
高	Lgⓘ	gāo
饣	Lkⓐ	shí
了	Llⓔ	le
{贏框}	Llⓞ	
曲	Lqⓔ	qū
欠	Lqⓘ	qiàn
長	Lrⓔ	cháng
镸	Lrⓔ	cháng
⻍	Lrⓞ	
辶	Lrⓞ	chuò
正	Lsⓔ	zhèng
糸	Lsⓘ	sī
亠	Ltⓔ	tóu
穴	Lxⓔ	xué
{兴上}	Lxⓘ	
