高	Ag	gi
㔾	Aj	je
卩	Aj	je
㐄	Ak	o
來	Al	le
木	Am	mu
亠	At	te
丑	Bc	re
隶	Bd	li
弓	Bg	gi
彐	Bj	ji
肀	Bj	e
马	Bm	ma
又	Bo	u
癶	Bo	bo
	Bo	ko
	Bo	ko
皮	Bp	pi
尸	Bs	ki
	Bw	u
言	By	a
贝	Cb	bo
彳	Cc	ri
	Ce	ce
见	Cj	ja
冂	Ck	ji
女	Cn	ne
彡	Cp	ka
雨	Cv	e
	Cv	o
页	Cy	e
白	Db	be
叀	Dc	re
車	Dc	re
电	Dd	da
	Dd	do
丰	Df	fe
甶	Dg	fu
鬼	Dg	go
戶	Dh	hu
臼	Di	ju
斤	Dj	jo
門	Dm	me
鳥	Dn	ni
由	Do	u
片	Dp	pa
曲	Dq	qe
爿	Dq	pa
申	Ds	ke
鬥	Du	de
烏	Dw	u
向	Dx	xo
讠	Dy	a
至	Dz	si
風	Ef	fe
隹	Eh	co
6	Ei	i
几	Ej	ji
彑	Em	ji
母	Em	mu
亻	Er	o
殳	Es	ku
	Ez	zo
1	Fi	i
末	Fm	mo
尢	Fo	o
尤	Fo	u
手	Fs	ke
扌	Fs	ke
龵	Fs	ke
未	Fw	o
艮	Gg	ge
黑	Gh	ho
十	Gi	ki
乃	Gn	ne
3	Gp	pe
气	Gq	qi
	Gw	o
廴	Gy	o
	Gy	o
竹	Gz	su
牙	Ha	a
臣	Hc	re
匚	Hf	fe
户	Hh	hu
戸	Hh	hu
丂	Hk	ki
犬	Hq	qi
犭	Hq	qi
士	Hs	ki
龶	Hs	ke
土	Ht	du
耂	Ht	li
壴	Hz	su
走	Hz	ze
灬	Ib	bi
亍	Ic	ru
火	Ih	ho
宀	Im	ma
二	Ir	o
冫	Ir	o
尚	Is	ke
龸	Is	o
小	Iv	xi
穴	Ix	xe
貝	Jb	bo
丁	Jd	di
頁	Je	e
缶	Jf	fe
古	Jg	gu
矢	Ji	ki
見	Jj	ja
目	Jm	mu
且	Jq	qe
日	Jr	i
示	Js	ki
丄	Jv	ke
上	Jv	ke
	Jv	o
王	Jw	o
丅	Jx	xa
下	Jx	xa
曰	Jy	e
早	Jz	zi
八	Ka	ba
寸	Kc	ci
4	Kd	da
了	Ke	le
戈	Kg	ge
弋	Ki	i
纟	Kj	si
立	Kl	li
卯	Km	mi
入	Kr	e
食	Ks	ki
予	Kv	e
戊	Kw	u
辛	Kx	xo
子	Kz	zi
三	La	sa
巛	Lc	ri
巜	Lc	ri
川	Lc	ri
耳	Le	o
丌	Lj	ji
舌	Ls	ke
	Ls	o
口	Lv	ke
兀	Lw	u
正	Lz	se
麻	Ma	ma
疒	Mb	bi
辰	Mc	re
刀	Md	di
刂	Md	di
广	Mg	go
禾	Mh	he
鹿	Ml	lu
毛	Mm	mi
鸟	Mn	ni
千	Mq	qa
壬	Mr	o
乌	Mw	u
夭	My	i
豸	Mz	si
厶	Na	si
幺	Na	i
匕	Nb	bi
长	Nc	re
甫	Nf	fu
干	Ng	ga
水	Ns	ko
氵	Ns	ko
巴	Ob	ba
辶	Oc	ro
大	Od	da
	Od	di
也	Oe	e
夫	Of	fu
已	Oi	i
己	Oj	ji
钅	Oj	jo
乜	Om	me
巳	Os	si
糸	Os	si
糹	Os	si
之	Oz	si
齒	Pc	ri
工	Pg	gi
止	Pi	si
牛	Pn	nu
生	Ps	ke
西	Px	xi
酉	Py	u
足	Pz	zu
虫	Qc	ri
自	Qi	zi
丷	Qk	ba
米	Qm	mi
丬	Qq	qo
身	Qs	ke
羊	Qy	o
人	Re	o
骨	Rg	gu
合	Rh	he
心	Ri	xo
九	Rj	ju
冎	Rk	ga
咼	Rk	ga
僉	Rq	qa
瓦	Rw	a
忄	Rx	xo
革	Sg	ge
世	Si	ki
乂	Si	i
力	Sl	li
面	Sm	ma
艹	So	ci
而	Sr	o
卅	Ss	sa
用	Sy	i
文	Te	i
方	Tf	fe
亥	Th	he
亦	Ti	i
金	Tj	jo
门	Tm	me
豕	Ts	ki
夊	Tu	pu
亡	Tw	o
卜	Ub	bu
髟	Ub	bi
長	Uc	re
镸	Uc	re
业	Ue	e
非	Uf	fo
瓜	Ug	ga
虎	Uh	hu
巾	Uj	jo
鹵	Ul	lu
皿	Um	mo
舟	Uo	se
其	Uq	qi
2	Us	gi
山	Us	ka
	Us	gi
罒	Uw	o
爪	Uz	sa
	Uz	sa
丆	Vh	re
厂	Vh	re
甲	Vj	ja
里	Vl	li
石	Vs	ki
田	Vt	ta
不	Vu	bu
禺	Vv	e
魚	Vv	e
习	Vx	xi
勹	Wb	bi
屮	Wc	ci
丩	Wj	ju
凵	Wk	ka
馬	Wm	ma
儿	Wr	o
囗	Ww	o
月	Wy	e
七	Xi	qi
车	Xj	re
冖	Xm	mi
欠	Xq	qa
饣	Xs	ki
鱼	Xv	e
	Xv	o
夕	Xx	xi
衤	Xy	i
阝	Yf	fu
飛	Yf	fo
5	Yi	i
