	{華中}
	{馬上}
	{穀框}
	{專上}
	{龍右}
	{畏下}
	{乍下}
	{亞中}
	{亞下}
	{虍上}
	{雋下}
	{具上}
	{冂丶}
	{黽中}
	{⺮右}
	{介下}
	{囟框}
	{卑上}
	{鬼左}
	{烏上}
	{鳥上}
	{微上}
	{飞右}
	{龠上}
	{僉上}
	{卬左}
	{乐上}
	{介下}
	{奐上}
	{𠇊右}
	{祭上}
	{鸟上}
	{爲下}
	{襄上}
	{京上}
	{亮上}
	{鹿上}
	{兴上}
	{发左}
	{鼠下}
	{母框}
	{互中}
	{纟上}
𰚈	{穀框}{亞下}
丝	{纟上}{纟上}一
𫩄	{專上}{发左}又
鸶	{纟上}{纟上}一鸟
𡰗	{京上}{京上}小尢
𡰜	{京上}{京上}小尤
𩴰	{鬼左}{微上}一儿
𩴰	{鬼左}{微上}一几
⽏	{母框}十
⽒	{卬左}七
⿕	{龠上}冊
㐔	{京上}乙
㨌	{穀框}手
㲄	{穀框}王
乐	{乐上}小
乡	{纟上}丿
亨	{京上}了
享	{京上}子
京	{京上}小
亭	{亮上}丁
亮	{亮上}儿
亮	{亮上}几
亯	{京上}日
兕	{雋下}兀
兴	{兴上}八
具	{具上}八
凫	{鸟上}几
凹	{雋下}一
卑	{卑上}十
卬	{卬左}卩
哀	{京上}𧘇
囟	{囟框}乂
囱	{囟框}夊
奐	{奐上}大
專	{專上}寸
岛	{鸟上}山
島	{鳥上}山
徴	{微上}王
徾	{微上}言
惠	{專上}心
曹	{曹上}日
枭	{鸟上}木
梟	{鳥上}木
殻	{穀框}几
毂	{穀框}车
毋	{母框}𠂇
毌	{母框}十
毫	{亮上}毛
氏	{卬左}七
烉	{奐上}火
畗	{京上}田
祭	{祭上}示
稁	{亮上}禾
詧	{祭上}言
豪	{亮上}豕
鳬	{鳥上}几
龠	{龠上}冊
亮	{亮上}儿
亮	{亮上}几
卑	{卑上}十
𠅊	{京上}十
𠅌	{京上}大
𠅝	{亮上}子
𠅧	{襄上}大
𠎤	{龠上}冊
𠒎	{鳥上}儿
𠚆	{雋下}十
𠦒	{華中}十
𠧘	{虍上}又
𠬞	{发左}又
𡬭	{曹上}寸
𡭳	{馬上}小
𡱀	{京上}尸
𡶓	{雋下}山
𡸸	{專上}山
𢉺	{鹿上}且
𢍅	{奐上}廾
𢖄	{微上}虫
𢰍	{京上}火
𣁓	{鳥上}文
𣪊	{穀框}一
𣪒	{穀框}丂
𣪝	{穀框}土
𣪬	{穀框}牛
𣪸	{穀框}舌
𣫈	{穀框}酉
𣫬	{母框}艹
𥆕	{亮上}目
𦕺	{亮上}耳
𧎅	{穀框}虫
𧰼	{奐上}𧰨
𨙪	{卬左}阝
𨠷	{曹上}酉
𨡛	{鬼左}酉
𩑎	{介下}頁
𩲆	{鬼左}彡
𩲇	{鬼左}子
𪀋	{鳥上}甲
𪁚	{亮上}鳥
𪃟	{穀框}鳥
𫂱	{介下}米
𫞕	{卬左}弋
𫠉	{馬上}一
𫠓	{鳥上}一
𫦂	{專上}刂
𫸜	{專上}廾
𬆭	{穀框}示
𬴾	{鬼左}上
𬵀	{鬼左}車
𬵙	{鬼左}魚
𬼗	{卬左}乚
𬽎	{亮上}戈
𭂪	{卬左}几
𭄩	{鳥上}力
𭚓	{𠇊右}廴
𭥴	{曾中}日
𮈏	{祭上}糸
𮌔	{亮上}月
𮓗	{虍上}土
𮚊	{鹿上}貝
𮞅	{𠇊右}辶
𮩴	{馬上}廾
𮩵	{馬上}巾
𮫜	{鬼左}夭
𮭱	{鹿上}灬
𮰴	{兴上}大
𮹔	{鸟上}水
具	{具上}八
卑	{卑上}十
殻	{穀框}几
𰺿	{專上}辶
𱶉	{鳥上}禾
𠆊	{亮上}一{亞下}
𠎘	{龠上}冂{丄丶}
𭀯	{鬼左}弓{介下}
𩇨	{介下}冫{飞右}{飞右}
㝇	{京上}子{京上}子
𠂩	{卬左}一{卬左}一
𠭛	{囟框}夊{发左}又
𡦟	{京上}子{卑上}十
𢡔	{囟框}乂{囟框}心
𥍙	{具上}小{具上}小
𫎛	{卬左}七{卬左}貝
𬇊	{卬左}七{卬左}七
𬹢	{專上}丿{黽中}彐
𬺡	{專上}心{龠上}冊
𱑹	{卬左}七{卬左}又
⿌	{黽中}𰀄彐
㖜	{京上}口匕
㙶	{京上}尚土
㜌	{穀框}一女
㝅	{穀框}一子
㣲	{微上}一口
㪟	{京上}日夊
㮂	{具上}八木
㷤	{穀框}一火
㺉	{穀框}一犬
㼰	{卑上}十瓦
䋰	{具上}八糸
䍍	{穀框}一缶
䐨	{穀框}一⺼
䐨	{穀框}一月
䡞	{具上}八車
䪿	{囟框}乂頁
䫌	{卑上}十頁
䯧	{亮上}冂口
䲭	{卬左}七鳥
举	{兴上}八𰀁
亳	{亮上}丿七
亴	{亮上}土九
亴	{亮上}𰀁九
剠	{京上}小刂
剸	{專上}寸刂
勍	{京上}小力
印	{卬左}一卩
发	{发左}又丶
嗀	{穀框}一口
囪	{囟框}𰀪丶
夐	{奐上}目夊
就	{京上}小尤
帋	{卬左}七巾
幑	{微上}一巾
廌	{鹿上}丂灬
彀	{穀框}一弓
微	{微上}一儿
微	{微上}一几
徵	{微上}一壬
徵	{微上}一王
徽	{微上}一糸
恖	{囟框}乂心
悤	{囟框}夊心
愨	{穀框}一心
慤	{穀框}几心
挙	{兴上}八手
敦	{京上}子夊
敻	{奐上}目夊
昏	{卬左}七日
榖	{穀框}一木
殼	{穀框}一几
氐	{卬左}七一
氐	{卬左}七丶
氒	{卬左}七十
烹	{京上}了灬
瑴	{穀框}一王
甎	{專上}寸瓦
瞉	{穀框}一目
穀	{穀框}一禾
粤	{囟框}米丂
糓	{穀框}一米
縠	{穀框}一糸
蚃	{纟上}丿虫
螜	{穀框}一虫
衰	{京上}一𧘇
衷	{京上}丨𧘇
袅	{鸟上}亠𧘇
裊	{鳥上}亠𧘇
襄	{襄上}𠀎𧘇
誉	{兴上}八言
豰	{穀框}一豕
貫	{母框}十貝
贯	{母框}十贝
轂	{穀框}一車
迎	{卬左}卩辶
遭	{曹上}日辶
郫	{卑上}十阝
郭	{京上}子阝
鄟	{專上}寸阝
鄡	{鳥上}木阝
飨	{纟上}丿食
鰴	{微上}一魚
鵯	{卑上}十鳥
鶁	{京上}小鳥
鶉	{京上}子鳥
鷇	{穀框}一鳥
鷒	{專上}寸鳥
鸙	{龠上}冊鳥
鹎	{卑上}十鸟
鹑	{京上}子鸟
黴	{微上}一黑
黽	{黽中}𰀄彐
龡	{龠上}冊欠
