×	乂
	{華中}
	{馬上}
	{穀框}
	{曹上}
	{專上}
	{龍右}
	{畏下}
	{乍下}
	{亞中}
	{亞下}
	{虍上}
	{雋下}
	{雋下}
	{具上}
	{冂丶}
	{亜下}
	{黽中}
	{⺮右}
	{介下}
	{囟框}
	{卑上}
	{鬼左}
	{烏上}
	{鳥上}
	{微上}
	{飞右}
	{飞右}
	{龠上}
	{僉上}
	{卬左}
	{乐上}
	{介下}
	{奐上}
	{𠇊右}
	{祭上}
	{鸟上}
	{爲下}
	{襄上}
	{京上}
	{亮上}
	{鹿上}
	{兴上}
	{发左}
	{发左}
	{鼠下}
	{母框}
	{互中}
	{纟上}
𘠐	{介下}
𘠵	{乍下}
𰚈	{穀框}{亞下}
丝	{纟上}{纟上}一
𫩄	{專上}{发左}又
鸶	{纟上}{纟上}一鸟
𡰗	{京上}{京上}小尢
𡰜	{京上}{京上}小尤
𩴰	{鬼左}{微上}一几
⽏	{母框}十
⽒	{卬左}七
⿕	{龠上}冊
㉀	{祭上}示
㐔	{京上}乙
㨌	{穀框}手
㲄	{穀框}王
乐	{乐上}小
乡	{纟上}丿
亨	{京上}了
享	{京上}子
京	{京上}小
亭	{亮上}丁
亮	{亮上}几
亯	{京上}日
兕	{雋下}兀
兴	{兴上}八
具	{具上}八
凫	{鸟上}几
凹	{雋下}一
卑	{卑上}十
卬	{卬左}卩
哀	{京上}𧘇
囟	{囟框}乂
囱	{囟框}夊
奐	{奐上}大
專	{專上}寸
岛	{鸟上}山
島	{鳥上}山
徴	{微上}王
徾	{微上}言
惠	{專上}心
曹	{曹上}日
枭	{鸟上}木
梟	{鳥上}木
殻	{穀框}几
毂	{穀框}车
毋	{母框}ナ
毌	{母框}十
毫	{亮上}毛
氏	{卬左}七
烉	{奐上}火
畗	{京上}田
祭	{祭上}示
稁	{亮上}禾
詧	{祭上}言
豪	{亮上}豕
鳬	{鳥上}几
龠	{龠上}冊
	{華中}十
	{卬左}一
	{卬左}一
亮	{亮上}几
卑	{卑上}十
𘡵	{乍下}乙
𘳃	{发左}一
𛀰	{具上}八
𛁮	{亮上}丁
𛄒	{專上}心
𠅊	{京上}十
𠅌	{京上}大
𠅝	{亮上}子
𠅧	{襄上}大
𠎤	{龠上}冊
𠒎	{鳥上}儿
𠚆	{雋下}十
𠦒	{華中}十
𠧘	{虍上}又
𠬞	{发左}又
𡬭	{曹上}寸
𡭳	{馬上}小
𡱀	{京上}尸
𡶓	{雋下}山
𡸸	{專上}山
𢉺	{鹿上}且
𢍅	{奐上}廾
𢖄	{微上}虫
𢰍	{京上}火
𣁓	{鳥上}文
𣪊	{穀框}一
𣪒	{穀框}丂
𣪝	{穀框}土
𣪬	{穀框}牛
𣪸	{穀框}舌
𣫈	{穀框}酉
𣫬	{母框}艹
𥆕	{亮上}目
𦕺	{亮上}耳
𧎅	{穀框}虫
𧰼	{奐上}𧰨
𨙪	{卬左}阝
𨠷	{曹上}酉
𨡛	{鬼左}酉
𩑎	{介下}頁
𩡧	{馬上}卌
𩲆	{鬼左}彡
𩲇	{鬼左}子
𪀋	{鳥上}甲
𪁚	{亮上}鳥
𪃟	{穀框}鳥
𫂱	{介下}米
𫞕	{卬左}弋
𫠉	{馬上}一
𫠓	{鳥上}一
𫦂	{專上}刂
𫸜	{專上}廾
𬆭	{穀框}示
𬴾	{鬼左}上
𬵀	{鬼左}車
𬵙	{鬼左}魚
𬼗	{卬左}乚
𬽎	{亮上}戈
𭂪	{卬左}几
𭄩	{鳥上}力
𭚓	{𠇊右}廴
𭥴	{曾中}日
𮈏	{祭上}糸
𮌔	{亮上}月
𮓗	{虍上}土
𮚊	{鹿上}貝
𮞅	{𠇊右}辶
𮩴	{馬上}廾
𮩵	{馬上}巾
𮫜	{鬼左}夭
𮭱	{鹿上}灬
𮰴	{兴上}大
𮹔	{鸟上}水
具	{具上}八
卑	{卑上}十
殻	{穀框}几
𰺿	{專上}辶
𱶉	{鳥上}禾
𠆊	{亮上}一{亞下}
𠎘	{僉上}冂{丄丶}
𭀯	{鬼左}弓{介下}
㝇	{京上}子{京上}子
𗅢	{介下}丷{介下}乂
𠂩	{卬左}一{卬左}一
𠭛	{囟框}夊{发左}又
𡦟	{京上}子{卑上}十
𢡔	{囟框}乂{囟框}心
𥍙	{具上}小{具上}小
𫎛	{卬左}七{卬左}貝
𬇊	{卬左}七{卬左}七
𬹢	{專上}丿{黽中}彐
𬺡	{專上}心{龠上}冊
𱑹	{卬左}七{卬左}又
⿌	{黽中}𬼖彐
㊞	{卬左}一卩
㖜	{京上}口匕
