高	Ag
	Ag
	Ag
	Ag
㔾	Aj
卩	Aj
ヰ	Ak
	Ak
來	Al
木	Am
亠	At
丑	Bc
隶	Bd
弓	Bg
彐	Bj
肀	Bj
	Bj
马	Bm
コ	Bo
ス	Bo
マ	Bo
ユ	Bo
又	Bo
癶	Bo
皮	Bp
尸	Bs
	Bs
韋	Bw
	Bw
言	By
贝	Cb
彳	Cc
	Cc
冊	Ce
见	Cj
冂	Ck
	Ck
	Ck
女	Cn
彡	Cp
	Cp
雨	Cv
白	Db
叀	Dc
車	Dc
	Dc
电	Dd
𠂤	Dd
丰	Df
甶	Dg
鬼	Dg
	Dg
	Dg
戶	Dh
臼	Di
⺁	Dj
斤	Dj
門	Dm
黽	Dm
	Dm
鳥	Dn
	Dn
由	Do
片	Dp
爿	Dq
申	Ds
鬥	Du
烏	Dw
	Dw
向	Dx
	Dx
	Dx
讠	Dy
至	Dz
風	Ef
隹	Eh
㇉	Ei
乚	Ei
𡿨	Ei
几	Ej
彑	Em
母	Em
	Em
	Em
亻	Er
殳	Es
	Ez
一	Fi
末	Fm
尢	Fo
尤	Fo
手	Fs
扌	Fs
龵	Fs
未	Fw
艮	Gg
黑	Gh
十	Gi
乃	Gn
丿	Gp
气	Gq
	Gw
廴	Gy
	Gy
𧘇	Gy
竹	Gz
	Gz
𠂉	Gz
牙	Ha
臣	Hc
匚	Hf
户	Hh
戸	Hh
丂	Hk
犬	Hq
犭	Hq
士	Hs
龶	Hs
	Hs
土	Ht
耂	Ht
壴	Hz
走	Hz
灬	Ib
亍	Ic
火	Ih
宀	Im
⺀	Ir
二	Ir
冫	Ir
尚	Is
龸	Is
小	Iv
穴	Ix
貝	Jb
丁	Jd
缶	Jf
古	Jg
矢	Ji
見	Jj
目	Jm
且	Jq
	Jq
日	Jr
	Jr
示	Js
丄	Jv
上	Jv
	Jv
王	Jw
丅	Jx
下	Jx
曰	Jy
早	Jz
八	Ka
	Ka
	Ka
	Ka
𠁁	Ka
寸	Kc
	Kc
丶	Kd
乀	Kd
了	Ke
戈	Kg
弋	Ki
纟	Kj
	Kj
立	Kl
卯	Km
	Km
	Km
	Km
	Km
入	Kr
食	Ks
予	Kv
戊	Kw
辛	Kx
子	Kz
三	La
巛	Lc
巜	Lc
川	Lc
耳	Le
丌	Lj
舌	Ls
	Ls
〇	Lv
口	Lv
兀	Lw
麻	Ma
疒	Mb
辰	Mc
	Mc
刀	Md
刂	Md
广	Mg
禾	Mh
鹿	Ml
	Ml
毛	Mm
鸟	Mn
	Mn
千	Mq
壬	Mr
乌	Mw
夭	My
豸	Mz
厶	Na
幺	Na
匕	Nb
长	Nc
甫	Nf
干	Ng
⺍	Ns
水	Ns
氵	Ns
	Ns
巴	Ob
辶	Oc
大	Od
𡗗	Od
也	Oe
夫	Of
已	Oi
己	Oj
钅	Oj
乜	Om
巳	Os
糸	Os
糹	Os
之	Oz
齒	Pc
工	Pg
止	Pi
龰	Pi
⺧	Pn
牛	Pn
牜	Pn
生	Ps
襾	Px
西	Px
覀	Px
酉	Py
足	Pz
虫	Qc
自	Qi
リ	Qk
䒑	Qk
丷	Qk
米	Qm
丬	Qq
身	Qs
⺶	Qy
⺷	Qy
羊	Qy
人	Re
骨	Rg
合	Rh
	Rh
心	Ri
九	Rj
冎	Rk
咼	Rk
僉	Rq
瓦	Rw
忄	Rx
革	Sg
世	Si
乂	Si
	Si
力	Sl
面	Sm
卄	So
卝	So
廾	So
艹	So
龷	So
	So
	So
而	Sr
卅	Ss
卌	Ss
用	Sy
文	Te
方	Tf
亥	Th
亦	Ti
金	Tj
门	Tm
豕	Ts
	Ts
夊	Tu
亡	Tw
	Tw
卜	Ub
髟	Ub
	Ub
	Ub
長	Uc
镸	Uc
业	Ue
非	Uf
瓜	Ug
虍	Uh
虎	Uh
	Uh
𮓗	Uh
巾	Uj
鹵	Ul
皿	Um
舟	Uo
其	Uq
〢	Us
〣	Us
丨	Us
山	Us
罒	Uw
爪	Uz
爫	Uz
丆	Vh
厂	Vh
甲	Vj
里	Vl
石	Vs
田	Vt
不	Vu
禺	Vv
魚	Vv
习	Vx
勹	Wb
	Wb
屮	Wc
丩	Wj
丱	Wj
	Wj
凵	Wk
馬	Wm
	Wm
儿	Wr
	Wr
囗	Ww
月	Wy
	Wy
七	Xi
车	Xj
⺈	Xm
冖	Xm
欠	Xq
饣	Xs
鱼	Xv
夕	Xx
衤	Xy
阝	Yf
飛	Yf
㇆	Yi
乁	Yi
乙	Yi
乛	Yi
亅	Yi
𠄎	Yi
