root,repr,font,pua,strokes,unbroken
㇀,一,一,,1,
一,一,一,,1,
亅,乙,亅,,1,
二,二,二,,11,
三,三,三,,111,
丰,丰,丰,,1112,
𡗗,𡗗,,,11134,
亍,亍,亍,,112,
干,干,干,,112,
𰀁,{奉下},,,112,
王,王,王,,1121,
𤣩,王,王,,1121,
龶,龶,,,1121,
𠀎,{冓上},,,11221,
,{華中},,,11221,
未,未,未,,11234,
末,末,末,,11234,
示,示,示,,11234,
礻,示,,,11234,
夫,夫,夫,,1134,
丁,丁,丁,,12,
丅,丅,丅,,12,
十,十,十,,12,
𬺰,{于下},,,12,
土,土,土,,121,
士,士,士,,121,
工,工,工,,121,
扌,扌,,,121,
長,長,長,,12111634,
镸,镸,镸,,1211164,
髟,髟,髟,,1211164333,
,{馬上},,,121125,
馬,馬,馬,,1211254444,
正,正,正,,12121,
走,走,走,,1212134,
壴,壴,,,121252431,
耂,耂,耂,,1214,
,{穀框},,,121453554,
卄,卄,艹,,122,
艹,艹,艹,,122,
,ᅲ,,,122,
龷,龷,,,1221,
耳,耳,耳,,122111,
其,其,其,,12211134,
革,革,革,,122125112,
世,世,世,,12215,
卌,卌,卌,,12222,
𦣞,{姬右},,,1225126,
古,古,古,,122551,
木,木,木,,1234,
朩,朩,朩,,1234,
下,下,下,,124,
寸,寸,寸,,124,
車,車,車,,1251112,
,{專上},,,12511214,
甫,甫,甫,,1251124,
叀,叀,,,12512164,
,{曹上},,,1251221,
臣,臣,臣,,125126,
襾,西,西,,125221,
覀,西,西,,125221,
雨,雨,雨,,12524444,
西,西,西,,125361,
酉,酉,酉,,1253611,
𠂇,ナ,,,13,
辰,辰,辰,,1311634,
丌,丌,丌,,132,
廾,廾,廾,,132,
卅,卅,卅,,1322,
不,不,不,,1324,
石,石,石,,13251,
頁,頁,頁,,132511134,1
而,而,而,,132522,
面,面,面,,132522111,
页,页,页,,132534,1
大,大,大,,134,
來,來,來,,13434234,
犬,犬,犬,,1344,
豕,豕,豕,,1353334,
兀,兀,兀,,136,
尢,尢,尢,,136,
戊,戊,戊,,13634,
尤,尤,尤,,1364,
丆,丆,丆,,14,
厂,厂,厂,,14,
氺,水,氺,,14134,
戸,戸,戸,,1513,
,{曾中},,,152431,
,{冂丶},,,154,
丂,丂,丂,,16,
七,七,七,,16,
匚,匚,匚,,16,
匸,匚,匚,,16,
𠥓,匚,匚,,16,
𫠠,七,,,16,
,丂,,,16,
,匚,,,16,
𬼖,{反彐},,,161,
𰀂,{反彐},,,161,
𰀄,{反彐},,,161,
车,车,车,,1612,
𦣝,{弬右},,,161216,
,{龍右},,,1616111,
㐄,㐄,,,162,
牙,牙,牙,,1623,
戈,戈,戈,,1634,
,{畏下},,,1634,
弋,弋,弋,,164,
至,至,至,,164121,
瓦,瓦,瓦,,1654,
丨,丨,丨,,2,
丄,丄,丄,,21,
⺊,⺊,,,21,
上,上,上,,211,
,{乍下},,,211,
非,非,非,,21112111,
鬥,鬥,鬥,,2112111212,
止,止,止,,2121,
卝,艹,艹,,2121,
齒,齒,齒,,212134341343462,
鹵,鹵,鹵,,21253444441,
龰,龰,,,2134,
,{丄丶},,,214,
,{虍上},,,2153,
虍,虍,虍,,215316,
虎,虎,虎,,21531635,
,{亞中},,,216612,
,{亞下},,,2166121,
〢,〢,〢,,22,
刂,刂,,,22,
〣,〣,〣,,222,
业,业,业,,22431,
リ,リ,,,23,
𣥂,{步下},,,233,
小,小,小,,234,
𡭔,小,小,,234,
卜,卜,卜,,24,
⺌,⺌,⺌,,243,
尚,尚,尚,,24325251,
龸,龸,,,24345,
忄,忄,,,244,
冂,冂,冂,,25,
口,口,口,,251,
囗,囗,囗,,251,
𫝀,{五下},,,251,
日,日,日,,2511,
曰,曰,曰,,2511,
且,且,且,,25111,
目,目,目,,25111,
,{具上},,,251111,
早,早,早,,251112,
里,里,里,,2511121,
貝,貝,貝,,2511134,
見,見,見,,2511136,
甲,甲,甲,,25112,
申,申,申,,25112,
門,門,門,,25112511,
禺,禺,禺,,251125214,
,{黽中},,,251126,
电,电,电,,25116,
田,田,田,,25121,
由,由,由,,25121,
𧾷,足,足,,2512131,
足,足,足,,2512134,
虫,虫,虫,,251214,
𠕁,冊,,,25122,
曲,曲,曲,,251221,
,{亜下},,,251221,
巾,巾,巾,,252,
𫩏,{横日},,,2521,
冊,冊,冊,,25221,
皿,皿,皿,,25221,
罒,罒,罒,,25221,
,{雋下},,,2525,
水,水,水,,2534,
贝,贝,贝,,2534,
见,见,见,,2536,
黑,黑,黑,,254311214444,
冎,冎,,,25525,
咼,咼,咼,,25525251,
⾻,骨,骨,,255351511,
骨,骨,骨,,255452511,
丿,丿,丿,,3,
𠂉,{乞上},,,31,
钅,钅,,,31116,
手,手,手,,3112,
牛,牛,牛,,3112,
生,生,生,,31121,
缶,缶,缶,,311262,
龵,龵,,,3113,
矢,矢,矢,,31134,
气,气,气,,3115,
毛,毛,毛,,3116,
千,千,千,,312,
壬,壬,壬,,3121,
𡈼,壬,壬,,3121,
⺧,⺧,,,3121,
舌,舌,舌,,312251,
竹,竹,竹,,312312,
禾,禾,禾,,31234,
,千,,,313,
夭,夭,夭,,3134,
攵,夊,攵,,3134,
,{⺮右},,,314,
⺮,⺮,竹,,314314,
𦥑,⺽,,,3151111,
长,长,长,,3164,
亻,亻,,,32,
,{介下},,,32,
片,片,片,,3215,
臼,臼,臼,,321511,
川,川,川,,322,
隹,隹,隹,,32411121,
𰃦,{向框},,,325,
,{囟框},,,3251,
白,白,白,,32511,
自,自,自,,325111,
身,身,身,,3251113,
,{卑上},,,325113,
,{鬼左},,,3251136,
鬼,鬼,鬼,,325113664,
甶,甶,甶,,325121,
向,向,向,,325251,
𫶧,{荒下},,,326,
𰀪,{二撇},,,33,
𠂆,⺁,,,33,
斤,斤,斤,,3312,
彳,彳,彳,,332,
,{微框},,,3322623134,
⺥,爪,爪,,3324,
爪,爪,爪,,3324,
彡,彡,彡,,333,
舟,舟,舟,,335144,
瓜,瓜,瓜,,33644,
乂,乂,乂,,34,
人,人,人,,34,
入,入,入,,34,
八,八,八,,34,
,{飞右},,,34,
金,金,金,,34112431,
合,合,合,,341251,
,{僉上},,,341251251,
,{龠上},,,341251251251,
僉,僉,僉,,3412512513434,
爫,爪,爪,,3443,
豸,豸,豸,,3443533,
𠂭,{鬯中},,,344444,
𩙿,食,食,,344511211,
⻞,食,食,,344511511,
⻟,食,食,,34451154,
食,食,食,,344511634,
飠,食,食,,34451164,
乃,乃,乃,,35,
九,九,九,,35,
儿,儿,儿,,35,
冖,冖,冖,,35,
几,几,几,,35,
勹,勹,勹,,35,
,儿,,,35,
,勹,,,35,
⺆,{周框},,,35,
⺈,⺈,,,35,
𠂊,⺈,,,35,
⺝,月,月,,3511,
⺼,月,月,,3511,
月,月,月,,3511,
,{鳥上},,,351116,
鳥,鳥,鳥,,3511164444,
用,用,用,,35112,
,{烏上},,,35116,
烏,烏,烏,,351164444,
𠂤,{阜上},,,351251,
戶,戶,戶,,3513,
鱼,鱼,鱼,,35251211,
魚,魚,魚,,35251214444,
,{奐上},,,352534,
犭,犭,,,353,
風,風,風,,353251214,
𧰨,{豕下},,,353334,
欠,欠,欠,,3534,
,{衣下},,,3534,
夂,夊,夊,,354,
夊,夊,夊,,354,
夕,夕,夕,,354,
𱍸,{齊右},,,354,
𱼀,{炙上},,,3544,
,{祭上},,,354454,
,{鸟上},,,3546,
鸟,鸟,鸟,,35461,
殳,殳,殳,,3554,
,{爲下},,,35554444,
饣,饣,,,356,
乌,乌,乌,,3561,
匕,匕,匕,,36,
,{卬左},,,36,
,{乐上},,,36,
𠤎,匕,,,36,
𠂎,{卯左},,,363,
𧘇,{衣下},,,3634,
,卯,,,36453,
丶,丶,丶,,4,
乀,乀,乀,,4,
亠,亠,亠,,41,
冫,冫,,,41,
言,言,言,,4111251,
丬,丬,丬,,412,
𰁜,亦,,,412234,
,{京上},,,41251,
,{亮上},,,41251,
,{襄上},,,41251251,
高,高,高,,4125125251,
,高,,,4125145251,
广,广,广,,413,
麻,麻,麻,,41312341234,
亦,亦,亦,,413234,
文,文,文,,4134,
疒,疒,疒,,41341,
方,方,方,,4135,
,{鹿上},,,4135221,
鹿,鹿,鹿,,41352211636,
立,立,立,,41431,
辛,辛,辛,,4143112,
亡,亡,亡,,415,
𣎆,{贏框},,,4162513511354,
亥,亥,亥,,416334,
门,门,门,,425,
丷,丷,丷,,43,
羊,羊,羊,,431112,
⺶,⺶,,,431113,
𢆉,{南心},,,43112,
⺷,⺷,,,431121,
米,米,米,,431234,
火,火,火,,4334,
⺀,⺀,⺀,,44,
氵,氵,,,441,
⺍,⺍,,,443,
,{兴上},,,4431,
灬,灬,灬,,4444,
宀,宀,宀,,445,
穴,穴,穴,,44534,
⻍,⻍,⻍,,4454,
讠,讠,,,45,
户,户,户,,4513,
衤,衤,,,45234,
卯,卯,卯,,45252,
之,之,之,,454,
辶,辶,辶,,454,
䒑,䒑,,,461,
心,心,心,,4644,
〇,〇,〇,,5,
乙,乙,乙,,5,
𠃌,乙,,,5,
𠃍,乙,,,5,
𠄎,乙,,,5,
⺂,乙,,,5,
乛,乙,,,5,
㇇,乙,,,5,
㇈,乙,,,5,
㇅,乙,,,5,
㇍,乙,,,5,
㇕,乙,,,5,
コ,コ,,,51,
ユ,ユ,,,51,
⺕,彐,彐,,511,
⼹,彐,彐,,511,
彐,彐,彐,,511,
肀,肀,肀,,5112,
隶,隶,隶,,51124134,
艮,艮,艮,,511634,
,{即左},,,51164,
,尸,,,512,
丑,丑,丑,,5121,
尸,尸,尸,,513,
己,己,己,,516,
已,已,已,,516,
巳,巳,巳,,516,
弓,弓,弓,,516,
,巳,,,516,
卩,卩,卩,,52,
𰆊,ㄗ,,,52,
阝,阝,,,52,
子,子,子,,521,
孑,孑,孑,,521,
𠃜,{眉上},,,5213,
巴,巴,巴,,5216,
也,也,也,,526,
刀,刀,刀,,53,
力,力,力,,53,
皮,皮,皮,,53254,
,习,习,,533,
癶,癶,癶,,53334,
飛,飛,飛,,534335342,
又,又,又,,54,
廴,廴,廴,,54,
ス,ス,,,54,
マ,マ,,,54,
习,习,习,,541,
予,予,予,,5452,
了,了,了,,55,
,{纟上},,,55,
㔾,㔾,㔾,,56,
乜,乜,乜,,56,
马,马,马,,561,
㇂,乚,乚,,6,
乚,乚,乚,,6,
𠃊,乚,乚,,6,
𠃋,乚,乚,,6,
𠄌,乚,,,6,
㇉,乚,,,6,
𠃑,乚,,,6,
𡿨,乚,,,6,
㇜,乚,,,6,
爿,爿,爿,,6132,
丩,丩,丩,,62,
凵,ㄩ,凵,,62,
䶹,屮,屮,,622,
屮,屮,屮,,622,
山,山,山,,622,
,{发左},,,63,
女,女,女,,631,
丱,丱,丱,,63212,
